,x
1,Rplp0
2,Elane
3,Ndufa4
4,S100a4
5,Lgals1
6,Glipr2
7,Gapdh
8,Rpsa
9,Ctsg
10,Hist1h1e
11,Cstb
12,Hmgb2
13,Txn1
14,Tmpo
15,Fn1
16,H2afz
17,Mtfr2
18,Hmgn2
19,Ftl1
20,Gda
21,Ube2c
22,Aurka
23,Anxa2
24,Selenoh
25,Hist1h2ap
26,Hist1h2ae
27,Aurkb
28,Racgap1
29,Cdkn3
30,H2afx
31,Hist1h1b
32,Ccnb1
33,Lmnb1
34,Fbxo5
35,Kif18b
36,Hist1h2ab
37,Spc25
38,Depdc1a
39,Capg
40,Cdca3
41,Prc1
42,Spc24
43,Pclaf
44,Hist1h2af
45,Hist1h4d
46,Hist1h3c
47,Ccnf
48,Knl1
49,Cenpa
50,Dlgap5
51,Kif23
52,Kif15
53,Prr11
54,Cenpm
55,Incenp
56,Plk1
57,Mxd3
58,Kif11
59,Cenpf
60,Bub1b
61,Nusap1
62,Ect2
63,Ccna2
64,Tacc3
65,Fxyd5
66,Kif22
67,Cenpw
68,Shcbp1
69,Neil3
70,Cdca2
71,Anln
72,Top2a
73,Mis18bp1
74,Sgo1
75,Tubb4b
76,Knstrn
77,Ncaph
78,Bub1
79,Tpx2
80,Cdc20
81,Mad2l1
82,Ncapd2
83,Foxm1
84,Cdk1
85,Ckap2
86,Ccnb2
87,Spag5
88,Cip2a
89,Kif20a
90,Ska1
91,Kif14
92,Aspm
93,Nuf2
94,Ckap2l
95,Cks1b
96,Cdca8
97,Ncapg
98,Ezh2
99,Esco2
100,Rrm2
101,Cdc45
102,Cdca5
103,Kif4
104,Cenpe
105,Mki67
106,Birc5
107,Kifc1
108,Ndc80
109,Kif20b
110,S100a10
111,Kif2c
112,Tyms
113,Cit
114,Asf1b
115,Hmmr
116,Anxa1
117,Cep55
118,Sgo2a
119,Hmgb3
120,Melk
121,Anp32b
122,Stmn1
123,Pbk
124,Gmnn
125,Cenpk
126,Itga6
127,Smc4
128,Iqgap3
129,Ccne2
130,Smc2
131,Clspn
132,Rrm1
133,Btg1
134,Cenph
135,Fyb
136,Atad2
137,Ptprc
138,Dut
139,Plp2
140,Diaph3
