NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR7	1	Htr7	
LURAP1L	1	Lurap1l	
BBX	1	Bbx	
GSTK1	1	Gstk1	
WDR83OS	1	Wdr83os	
DHDH	1	Dhdh	
INSYN1	1	Insyn1	
BCR	1	Bcr	
ORAI3	1	Orai3	
ORAI2	1	Orai2	
AGTR1	1	Agtr1a	
ORAI1	1	Orai1	
VOPP1	1	Vopp1	
COL13A1	1	Col13a1	
SHMT2	1	Shmt2	
SHMT1	1	Shmt1	
B3GLCT	1	B3glct	
RDH12	1	Rdh12	
RDH11	1	Rdh11	
RDH10	1	Rdh10	
RDH14	1	Rdh14	
RDH13	1	Rdh13	
GTF2IRD2B	1	Gtf2ird2	
GSTM4	1	Gstm4	
GSTM3	1	Gstm5	
GSTM2	1	Gstm7	
GSTM1	3	Gstm1:Gstm2:Gstm6	
NEBL	1	Nebl	
PKIB	1	Pkib	
PKIA	1	Pkia	
L1TD1	1	L1td1	
STRN	1	Strn	
PKIG	1	Pkig	
KCNC3	1	Kcnc3	
BBC3	1	Bbc3	
GLT1D1	1	Glt1d1	
TLR12P	1	Tlr12	
STUM	1	Stum	
MYBPC3	1	Mybpc3	
KCND1	1	Kcnd1	
GSTO2	1	Gsto2	
GSTO1	1	Gsto1	
BGN	1	Bgn	
TMEFF2	1	Tmeff2	
PKN3	1	Pkn3	
SYNPO2	1	Synpo2	
GSTP1	2	Gstp2:Gstp1	
KCNA2	1	Kcna2	
PTAFR	1	Ptafr	
KCNA3	1	Kcna3	
ADAM22	1	Adam22	
SDAD1	1	Sdad1	
ADAM23	1	Adam23	
STX6	1	Stx6	
STX5	1	Stx5a	
STX4	1	Stx4a	
STX3	1	Stx3	
STX2	1	Stx2	
BID	1	Bid	
MBD3	1	Mbd3	
MBD4	1	Mbd4	
MBD5	1	Mbd5	
MBD6	1	Mbd6	
KCNB1	1	Kcnb1	
BIK	1	Bik	
MBD1	1	Mbd1	
MBD2	1	Mbd2	
KIAA2012	1	Gm973	
ADAM33	1	Adam33	
ADAM30	1	Adam30	
KIAA2013	1	2510039O18Rik	
MITD1	1	Mitd1	
PKN2	1	Pkn2	
ADAM3A	1	Adam3	
PKN1	1	Pkn1	
KCNG2	1	Kcng2	
RASL11B	1	Rasl11b	
FBXO28	1	Fbxo28	
RASL11A	1	Rasl11a	
GOLIM4	1	Golim4	
FBXO25	1	Fbxo25	
FBXO21	1	Fbxo21	
FBXO22	1	Fbxo22	
FADS3	1	Fads3	
FADS2	1	Fads2	
POFUT2	1	Pofut2	
PTAR1	1	Ptar1	
FNTA	1	Fnta	
POFUT1	1	Pofut1	
FADS6	1	Fads6	
TNFRSF8	1	Tnfrsf8	
NEK1	1	Nek1	
NEK2	1	Nek2	
NEK3	1	Nek3	
TNFRSF4	1	Tnfrsf4	
FADS1	1	Fads1	
KCNH1	1	Kcnh1	
PIAS4	1	Pias4	
PIAS3	1	Pias3	
KCNH4	1	Kcnh4	
DGAT2	1	Dgat2	
DGAT1	1	Dgat1	
STX8	1	Stx8	
FBXO17	1	Fbxo17	
STX7	1	Stx7	
FBXO10	1	Fbxo10	
FBXO11	1	Fbxo11	
PIAS2	1	Pias2	
PIAS1	1	Pias1	
LENG1	1	Leng1	
MINPP1	1	Minpp1	
DMTF1	1	Dmtf1	
PKP2	1	Pkp2	
PKP4	1	Pkp4	
PKP3	1	Pkp3	
BLK	1	Blk	
BLM	1	Blm	
KCNE3	1	Kcne3	
ZC4H2	1	Zc4h2	
IREB2	1	Ireb2	
FBXO47	1	Fbxo47	
GSTT2	1	Gstt2	
FBXO48	1	Fbxo48	
FBXO45	1	Fbxo45	
FBXO46	1	Fbxo46	
FBXO44	1	Fbxo44	
NPAS2	1	Npas2	
FBXO42	1	Fbxo42	
FBXO40	1	Fbxo40	
MBIP	1	Mbip	
BMF	1	Bmf	
NEK8	1	Nek8	
NEK9	1	Nek9	
SDF2L1	1	Sdf2l1	
NEK4	1	Nek4	
NEK5	1	Nek5	
NEK6	1	Nek6	
TNFRSF9	1	Tnfrsf9	
FBXO38	1	Fbxo38	
NEK7	1	Nek7	
STYX	2	Styx:Gm14698	
FBXO36	1	Fbxo36	
FBXO34	1	Fbxo34	
BMX	1	Bmx	
FBXO32	1	Fbxo32	
