NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_N_GLYCAN_BIOSYNTHESIS	46	43		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_O_GLYCAN_BIOSYNTHESIS	30	19		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	18		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15		Rejected!	
KEGG_GLYCEROLIPID_METABOLISM	49	41		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	25		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	60		
KEGG_ETHER_LIPID_METABOLISM	33	21		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	28		
KEGG_LINOLEIC_ACID_METABOLISM	29		Rejected!	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_SPHINGOLIPID_METABOLISM	39	32		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	16		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15		Rejected!	
KEGG_RIBOFLAVIN_METABOLISM	16	15		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	20		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16		Rejected!	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	41		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	30		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	34		
KEGG_LYSOSOME	121	114		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	56		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_TASTE_TRANSDUCTION	52	19		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	16		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	48		
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	62		
KEGG_PRIMARY_IMMUNODEFICIENCY	35	27		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	60		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	48		
KEGG_DILATED_CARDIOMYOPATHY	90	62		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	44		
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	27		
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	21		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	32		
KEGG_GALACTOSE_METABOLISM	26	23		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_FATTY_ACID_METABOLISM	42	34		
KEGG_STEROID_BIOSYNTHESIS	17	16		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	16		
KEGG_OXIDATIVE_PHOSPHORYLATION	132	115		
KEGG_PURINE_METABOLISM	159	130		
KEGG_PYRIMIDINE_METABOLISM	98	90		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	24		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	24		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	29		
