"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050863","GO:0050863","regulation of T cell activation","9/36","321/23328",1.07415956315084e-09,1.3502185708806e-06,8.17491962271638e-07,"Cd24a/Lmo1/Il1b/Cd209a/H2-Oa/Dpp4/Tnfsf9/Adam8/Malt1",9
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","9/36","479/23328",3.46351921458183e-08,1.17362346949292e-05,7.10572179745747e-06,"Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Cd226/Malt1/Il1rl1",9
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","7/36","221/23328",4.11604953486505e-08,1.17362346949292e-05,7.10572179745747e-06,"Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Malt1",7
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","8/36","345/23328",4.45121962532095e-08,1.17362346949292e-05,7.10572179745747e-06,"Itgb7/Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Malt1",8
"GO:0050867","GO:0050867","positive regulation of cell activation","9/36","496/23328",4.66835111174591e-08,1.17362346949292e-05,7.10572179745747e-06,"Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Cd226/Malt1/Il1rl1",9
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","7/36","265/23328",1.42079199835351e-07,2.97655923655061e-05,1.80216248212209e-05,"Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Malt1",7
"GO:0002697","GO:0002697","regulation of immune effector process","8/36","440/23328",2.86273258767219e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Il1b/Dpp4/Siglecg/Nr4a3/Klrb1b/Cd226/Malt1",8
"GO:0001819","GO:0001819","positive regulation of cytokine production","8/36","449/23328",3.33788606326097e-07,4.75936635567196e-05,2.88156586287386e-05,"Wnt11/Il1b/Nr4a3/Tnfsf9/Adam8/Cd226/Malt1/Il1rl1",8
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","7/36","309/23328",4.01396846604903e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Il1b/Dpp4/Nr4a3/Tnfsf9/Adam8/Malt1",7
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","6/36","192/23328",4.55906696274733e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Il1b/H2-Oa/Tnfsf9/Adam8/Malt1",6
"GO:0046651","GO:0046651","lymphocyte proliferation","7/36","317/23328",4.76682273093889e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Lmo1/Il1b/Cd209a/Siglecg/Tnfsf9/Malt1",7
"GO:0032943","GO:0032943","mononuclear cell proliferation","7/36","320/23328",5.07820402353881e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Lmo1/Il1b/Cd209a/Siglecg/Tnfsf9/Malt1",7
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","6/36","196/23328",5.14504772154253e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Il1b/Dpp4/Klrb1b/Cd226/Malt1",6
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/36","197/23328",5.30080580583989e-07,4.75936635567196e-05,2.88156586287386e-05,"Cd24a/Il1b/Dpp4/Cd226/Malt1/Il1rl1",6
"GO:0050870","GO:0050870","positive regulation of T cell activation","6/36","200/23328",5.79146898398813e-07,4.85325100858205e-05,2.93840847398134e-05,"Cd24a/Il1b/Dpp4/Tnfsf9/Adam8/Malt1",6
"GO:0070661","GO:0070661","leukocyte proliferation","7/36","344/23328",8.24446840392631e-07,5.84423287858372e-05,3.53840000939248e-05,"Cd24a/Lmo1/Il1b/Cd209a/Siglecg/Tnfsf9/Malt1",7
