"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sig","Gene"
"Cd209a",2.20786906879553e-82,2.82037907818373,0.633,0.083,3.03581996959386e-78,"2","Cd209a"
"Napsa",1.90892324373793e-104,2.02508074116687,0.796,0.219,2.62476946013965e-100,"2","Napsa"
"Plac8",1.5141384617467e-26,1.92367110052291,0.346,0.092,2.08194038490171e-22,"2","Plac8"
"S100a6",1.12909694693435e-107,1.79115344474467,0.946,0.48,1.55250830203472e-103,"2","S100a6"
"Tmsb10",2.64147053017063e-117,1.68933135411816,0.97,0.737,3.63202197898461e-113,"2","Tmsb10"
"Ear2",1.25429441345412e-47,1.52361897278577,0.461,0.069,1.72465481849941e-43,"2","Ear2"
"Tnfsf9",6.43034030756208e-40,1.48563838236829,0.602,0.254,8.84171792289786e-36,"2","Tnfsf9"
"Tnip3",1.83865373062465e-51,1.48271152723549,0.667,0.243,2.5281488796089e-47,"2","Tnip3"
"Ccl17",5.29804141851251e-18,1.47164493054753,0.206,0.031,7.2848069504547e-14,"2","Ccl17"
"S100a4",1.36799116306478e-79,1.42370736910115,0.861,0.339,1.88098784921407e-75,"2","S100a4"
"Areg",3.2683135370227e-21,1.42231366689841,0.34,0.105,4.49393111340621e-17,"2","Areg"
"Bhlhe40",1.04171687328508e-54,1.31382111998775,0.555,0.116,1.43236070076698e-50,"2","Bhlhe40"
"Ltb4r1",7.87370935887748e-58,1.26703458448932,0.447,0.016,1.08263503684565e-53,"2","Ltb4r1"
"Gm2a",4.20822949619957e-71,1.26353465589802,0.885,0.621,5.7863155572744e-67,"2","Gm2a"
"Clec4b1",8.73097717766987e-58,1.25001753020348,0.692,0.25,1.20050936192961e-53,"2","Clec4b1"
"Cytip",1.71148091264822e-48,1.19327597304155,0.743,0.342,2.3532862548913e-44,"2","Cytip"
"Mcemp1",7.46815523067015e-47,1.17917469676879,0.477,0.08,1.02687134421715e-42,"2","Mcemp1"
"S100a11",9.95724546361185e-61,1.14987655279537,0.907,0.723,1.36912125124663e-56,"2","S100a11"
"Lsp1",7.98118886462459e-69,1.14862137907794,0.925,0.69,1.09741346888588e-64,"2","Lsp1"
"Lmo4",1.78926331779613e-37,1.09650178130159,0.499,0.145,2.46023706196968e-33,"2","Lmo4"
"Ifitm3",2.32341446563532e-27,1.00786562507115,0.878,0.703,3.19469489024856e-23,"2","Ifitm3"
"Ubc",2.49357117976394e-22,-1.03179739170614,0.915,0.949,3.42866037217542e-18,"1","Ubc"
"Folr2",7.3375628119813e-19,-1.05302610023384,0.03,0.161,1.00891488664743e-14,"1","Folr2"
"Fxyd2",2.63748363057503e-42,-1.08957020444072,0.09,0.391,3.62653999204067e-38,"1","Fxyd2"
"Glul",1.26104086388924e-26,-1.09523635180152,0.33,0.574,1.7339311878477e-22,"1","Glul"
"Fos",6.18779053925481e-35,-1.10871586088442,0.932,0.971,8.50821199147537e-31,"1","Fos"
"Itm2b",4.68512146554768e-105,-1.1223432486394,0.98,0.996,6.44204201512806e-101,"1","Itm2b"
"Aif1",1.78529706418869e-65,-1.15101159387232,0.586,0.882,2.45478346325945e-61,"1","Aif1"
"Pmepa1",4.54792147679096e-38,-1.16635468915772,0.293,0.6,6.25339203058758e-34,"1","Pmepa1"
"Igf1",3.28275282966209e-69,-1.17579910432563,0.054,0.451,4.51378514078537e-65,"1","Igf1"
"Jun",3.52265535261965e-17,-1.19137533399901,0.753,0.83,4.84365110985202e-13,"1","Jun"
"Rnase4",1.05442198960154e-62,-1.2184169494053,0.115,0.516,1.44983023570212e-58,"1","Rnase4"
"Tmem37",9.3667239583747e-78,-1.24824778954352,0.073,0.518,1.28792454427652e-73,"1","Tmem37"
"Lgmn",2.01746702799901e-87,-1.27921174399682,0.722,0.94,2.77401716349864e-83,"1","Lgmn"
"C5ar1",2.07905835205876e-60,-1.38597434318119,0.218,0.634,2.8587052340808e-56,"1","C5ar1"
"Cd81",4.83859125846596e-97,-1.40713766009629,0.753,0.953,6.65306298039069e-93,"1","Cd81"
"Igfbp4",2.58182793393348e-68,-1.41490512893323,0.058,0.449,3.55001340915853e-64,"1","Igfbp4"
"Rhob",3.60587122283344e-54,-1.41646774405886,0.24,0.636,4.95807293139599e-50,"1","Rhob"
"Cd63",6.5241244291425e-104,-1.74863588961923,0.272,0.844,8.97067109007093e-100,"1","Cd63"
"Cxcl13",6.47921407941576e-09,-2.05185509865087,0.058,0.15,8.90891935919667e-05,"1","Cxcl13"
"Mafb",4.56758738265698e-109,-2.05526733791225,0.174,0.797,6.28043265115335e-105,"1","Mafb"
"Ms4a7",2.86177919840005e-131,-2.3837844820206,0.2,0.833,3.93494639780007e-127,"1","Ms4a7"
"Selenop",2.11678823373809e-135,-2.4357480658623,0.667,0.967,2.91058382138987e-131,"1","Selenop"
"Ccl12",6.04607658395618e-28,-2.44201007897354,0.132,0.375,8.31335530293975e-24,"1","Ccl12"
"C1qb",1.34505914077425e-177,-2.78330960586819,0.689,0.998,1.8494563185646e-173,"1","C1qb"
"C1qc",6.59389558679603e-187,-2.92931083052239,0.41,0.989,9.06660643184454e-183,"1","C1qc"
"C1qa",2.56824548631135e-182,-2.93861882913626,0.547,0.998,3.5313375436781e-178,"1","C1qa"
"Pf4",3.45259282630187e-97,-3.03117107815301,0.244,0.761,4.74731513616508e-93,"1","Pf4"
"Apoe",1.02553621022612e-130,-3.04674344880338,0.687,0.987,1.41011228906092e-126,"1","Apoe"
