NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	23	20		
GOBP_REPRODUCTION	1514		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	131	120		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	27	24		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	19	17		
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	35	22		
GOBP_TRANSITION_METAL_ION_TRANSPORT	105	77		
GOBP_UREA_CYCLE	10		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	14		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	173	160		
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	170	161		
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	17	17		
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	21	19		
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	33	27		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17		Rejected!	
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	931		Rejected!	
GOBP_RRNA_MODIFICATION	37	32		
GOBP_MAPK_CASCADE	792		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	40	39		
GOBP_PROTEIN_POLYUBIQUITINATION	244	220		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	15		Rejected!	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	642		Rejected!	
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	25		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	77	53		
