"baseMean"	"log2FoldChange.x"	"lfcSE.x"	"stat.x"	"pvalue.x"	"padj.x"	"log2FoldChange.y"	"lfcSE.y"	"stat.y"	"pvalue.y"	"padj.y"
"Cspg4"	507.794626056723	2.04136374236553	0.18519238737946	11.0229355064297	2.96237776476868e-28	1.03401795879251e-24	1.56175551171862	0.141329500650737	11.0229355064297	2.96237776476868e-28	1.03401795879251e-24
"Cd226"	163.376417515075	2.00103334618011	0.256011965857619	7.81617116792497	5.44543157001253e-15	3.80145577902575e-12	1.26064361034631	0.160890823490989	7.81617116792497	5.44543157001253e-15	3.80145577902575e-12
"AA467197"	400.058763622543	1.54511241097554	0.182114133047421	8.48430808263086	2.17006107365812e-17	2.01989284736098e-14	1.19200422365066	0.14023296402124	8.48430808263086	2.17006107365812e-17	2.01989284736098e-14
"Gm21188"	750.271125254845	1.45183458706501	0.165167044980477	8.79009845600019	1.49428956019356e-18	1.60486698764788e-15	1.16747382527131	0.132702642064647	8.79009845600019	1.49428956019356e-18	1.60486698764788e-15
"Cd109"	205.104399565682	1.77090997937145	0.267951869600334	6.60905998533567	3.86767991258476e-11	1.63638021028814e-08	1.07583515786425	0.163075564997609	6.60905998533567	3.86767991258476e-11	1.63638021028814e-08
"S100a4"	2728.18418039968	1.14637125826681	0.128211151554698	8.94127573433221	3.84703157236239e-19	4.47602123444364e-16	0.999811676422664	0.111802503147538	8.94127573433221	3.84703157236239e-19	4.47602123444364e-16
"Dpysl3"	1290.2721061963	1.14899645948107	0.134051779674877	8.57128836534504	1.02333640647782e-17	1.02055877908881e-14	0.990293546872927	0.11548733946407	8.57128836534504	1.02333640647782e-17	1.02055877908881e-14
"S100a6"	1448.75155203716	1.1864939179099	0.162577204664151	7.2980336964271	2.92003518814676e-13	1.85316051349568e-10	0.95999732060961	0.131533563538771	7.2980336964271	2.92003518814676e-13	1.85316051349568e-10
"Hp"	164.044879373712	2.88398443513699	0.461219568555662	6.25295332582779	4.02762537076804e-10	1.37155379089423e-07	0.928813948382998	0.160333447077941	6.25295332582779	4.02762537076804e-10	1.37155379089423e-07
"Kcnn4"	1015.85721386786	1.00132802572568	0.166790300394933	6.00351473289931	1.93091236182567e-09	5.73604221187447e-07	0.80219782280715	0.133607509451311	6.00351473289931	1.93091236182567e-09	5.73604221187447e-07
"Nt5dc2"	696.607808887178	0.898492683452681	0.154664258498451	5.80931038738779	6.27306951087741e-09	1.68431916367058e-06	0.740536873534487	0.127425219758363	5.80931038738779	6.27306951087741e-09	1.68431916367058e-06
"Tnfsf9"	1774.0732220489	0.871527613166278	0.149985230536542	5.81075623278749	6.21912650688631e-09	1.68431916367058e-06	0.72592351073251	0.124918413826596	5.81075623278749	6.21912650688631e-09	1.68431916367058e-06
"Rnd1"	190.175767956856	1.05160615767037	0.235989493476037	4.45615667960723	8.34420583828087e-06	0.000947169121252663	0.702328328388611	0.157544336865023	4.45615667960723	8.34420583828087e-06	0.000947169121252663
"Tspan32"	487.359726440993	0.880292865264892	0.169123315119433	5.20503553660379	1.939594854549e-07	3.67178602277991e-05	0.701397119201781	0.134690262866067	5.20503553660379	1.939594854549e-07	3.67178602277991e-05
"Cd207"	445.367838409225	0.960913267049808	0.20690161577531	4.6443004490276	3.41230681022891e-06	0.000449458751739775	0.695153218839577	0.149690561027996	4.6443004490276	3.41230681022891e-06	0.000449458751739775
"Igf2r"	377.190340591622	0.899631010046829	0.186493269422822	4.8239328573685	1.40754816920099e-06	0.000211313844498755	0.686707685717888	0.142269606236957	4.8239328573685	1.40754816920099e-06	0.000211313844498755
"Aplnr"	106.217245089644	1.2464637102514	0.314489749827977	3.96344781008986	7.38750195601763e-05	0.00576225152569375	0.660510795023279	0.167094735938049	3.96344781008986	7.38750195601763e-05	0.00576225152569375
"Plscr1"	487.075350437251	0.834707239725319	0.177933252473944	4.6911256222192	2.71706074065331e-06	0.000374814756222332	0.650859383254376	0.138711474816821	4.6911256222192	2.71706074065331e-06	0.000374814756222332
"Fgfr1"	1107.43481048058	0.742806505489786	0.132947021314225	5.58723691698317	2.30710883647024e-08	5.75211670978526e-06	0.641725531976679	0.114829419300588	5.58723691698317	2.30710883647024e-08	5.75211670978526e-06
"Id3"	1369.2324890114	0.747563428514982	0.136248847827065	5.48675046018616	4.09394815050559e-08	9.37044329137034e-06	0.641450298964957	0.116887787740457	5.48675046018616	4.09394815050559e-08	9.37044329137034e-06
"Scand1"	489.259184098929	0.815431064185108	0.174967811415637	4.66046330229305	3.15498410748711e-06	0.000423556616430144	0.64054642434102	0.137400691550359	4.66046330229305	3.15498410748711e-06	0.000423556616430144
"Adora2b"	395.435492288609	0.880738985860468	0.209532502665124	4.20335258090279	2.62990454779984e-05	0.00238433294132346	0.632754819230331	0.150537729150575	4.20335258090279	2.62990454779984e-05	0.00238433294132346
"Atp8b4"	902.798353469662	0.757216545072833	0.148592797330074	5.09591688613818	3.4705737721613e-07	6.0570188758645e-05	0.632695522936338	0.124129672921689	5.09591688613818	3.4705737721613e-07	6.0570188758645e-05
"Dach1"	85.9242577115975	1.29208460181341	0.344752745387214	3.74785877444483	0.000178350621510213	0.0122547162788023	0.624914320000587	0.167470373698489	3.74785877444483	0.000178350621510213	0.0122547162788023
"Dpep2"	1230.96726802478	0.714295190319226	0.129199134574712	5.52863757695042	3.22727283944412e-08	7.50986389738647e-06	0.621782062002287	0.112447052202972	5.52863757695042	3.22727283944412e-08	7.50986389738647e-06
"Ikbke"	216.662689422798	0.895351730062913	0.222564502703406	4.02288648543419	5.74892082666551e-05	0.00472155485775905	0.621002806645406	0.154282203894358	4.02288648543419	5.74892082666551e-05	0.00472155485775905
"Cgnl1"	143.654454121879	1.06383110592625	0.286353270052793	3.71510025267084	0.000203123145991728	0.0133773837940401	0.613491695473585	0.165362187305356	3.71510025267084	0.000203123145991728	0.0133773837940401
"Rnd3"	2003.40788542546	0.704470533921381	0.136597020119408	5.15729064444861	2.50548738219389e-07	4.54306686106378e-05	0.604017703438715	0.117110954468898	5.15729064444861	2.50548738219389e-07	4.54306686106378e-05
"Syp"	203.081600907447	0.911079181738483	0.244933025397376	3.71970737821231	0.000199453725168732	0.0132271331771552	0.593175258169234	0.159505327938629	3.71970737821231	0.000199453725168732	0.0132271331771552
"Olfm1"	1833.6247215252	0.688980355330077	0.135895363459782	5.06993276142183	3.97956269569867e-07	6.8595869576969e-05	0.591599320317628	0.116679114875581	5.06993276142183	3.97956269569867e-07	6.8595869576969e-05
"Rarb"	61.5249730120614	1.53174363817351	0.420371331753872	3.64378710551638	0.000268655663636289	0.0166709794475105	0.588896495503436	0.163756471942493	3.64378710551638	0.000268655663636289	0.0166709794475105
"Kirrel"	240.642470869644	0.885808941145322	0.242071863183204	3.65928088253251	0.000252923999679757	0.0158355375942994	0.581514514161893	0.158947229066989	3.65928088253251	0.000252923999679757	0.0158355375942994
"Tk1"	211.220083839908	0.871070097736597	0.239765585684652	3.6330071942946	0.000280137204464284	0.0170055462988275	0.575686112866807	0.15845073480402	3.6330071942946	0.000280137204464284	0.0170055462988275
"Dock5"	443.586754056455	0.730754159257416	0.175560177931566	4.16241409565139	3.14900623644188e-05	0.00274790156707509	0.573240698634564	0.137674350482119	4.16241409565139	3.14900623644188e-05	0.00274790156707509
"Cyp2s1"	99.301351106478	1.63356595951058	0.448942743114043	3.63869554540412	0.00027402251963243	0.0168541956788898	0.572410963274473	0.160964605122082	3.63869554540412	0.00027402251963243	0.0168541956788898
"Lyz1"	1997.49560201953	0.718079783295178	0.171102202069423	4.196788671392	2.70726330148933e-05	0.00242300065483295	0.56940518935204	0.135691014887436	4.196788671392	2.70726330148933e-05	0.00242300065483295
"Ass1"	226.99027556107	0.86055734552827	0.242878730666024	3.5431564681207	0.000395368047808572	0.0216475634647188	0.563614355574788	0.159113678168734	3.5431564681207	0.000395368047808572	0.0216475634647188
"Ccl17"	193.729099408202	0.861709190965351	0.244875970960346	3.51896181395802	0.000433239061291314	0.0227401645629674	0.561151929066898	0.159501147798089	3.51896181395802	0.000433239061291314	0.0227401645629674
"Mamdc2"	428.443772059739	0.872750985359126	0.250206954436707	3.48811641676371	0.00048643623168593	0.0248777387062233	0.55956125391213	0.16057344703559	3.48811641676371	0.00048643623168593	0.0248777387062233
"Arhgef10"	248.293604725806	0.829020444888789	0.232597256735563	3.56418840240791	0.00036498373915964	0.0204869972925919	0.558956026331389	0.156858278544545	3.56418840240791	0.00036498373915964	0.0204869972925919
"Sdf2l1"	1110.66021781108	0.63108927981755	0.127702014319679	4.94188978286383	7.73689521157542e-07	0.000125607594120949	0.551005221265718	0.111479707006059	4.94188978286383	7.73689521157542e-07	0.000125607594120949
"Ddit4"	115.80172111814	0.995636457008729	0.302804621873538	3.28804907550104	0.00100884252023234	0.0434736397144567	0.54688398024843	0.166584974830196	3.28804907550104	0.00100884252023234	0.0434736397144567
"Sdc1"	146.646197336901	1.31713198103096	0.394896191381313	3.33538790643624	0.000851804872744186	0.0378754765390265	0.545189753764031	0.165376510024497	3.33538790643624	0.000851804872744186	0.0378754765390265
"Cdc42ep4"	1077.57738828912	0.745582614964466	0.203578570356816	3.66238260568226	0.000249880274418238	0.0157154432046281	0.544276410224497	0.14865630388555	3.66238260568226	0.000249880274418238	0.0157154432046281
"Alcam"	1773.01975491121	0.608946379294425	0.115936150583164	5.25242882596496	1.50106476797336e-07	2.99398089863487e-05	0.543805231132378	0.103524439954539	5.25242882596496	1.50106476797336e-07	2.99398089863487e-05
"Rai14"	388.869005295224	0.703635247461983	0.183044539403681	3.84406576538297	0.000121012553073762	0.00884595427233435	0.541785976485806	0.140901227357038	3.84406576538297	0.000121012553073762	0.00884595427233435
"Slc2a6"	548.399568432864	0.713774503069757	0.192631373068931	3.70539072477224	0.000211065112688514	0.0137705191745656	0.536266193602962	0.144726996171999	3.70539072477224	0.000211065112688514	0.0137705191745656
"Tiam2"	37.4898269271508	1.81683754104955	0.513562686945161	3.53771328648639	0.000403608064378918	0.0216737530571479	0.532586500416978	0.154811236359935	3.53771328648639	0.000403608064378918	0.0216737530571479
"Gbp2"	675.522612472281	0.642288982770416	0.163439369265304	3.92983028298291	8.5005839700503e-05	0.0064502800755349	0.518768337975134	0.13198586443543	3.92983028298291	8.5005839700503e-05	0.0064502800755349
"Sgk1"	3044.33699454023	0.568803660791638	0.105659340683944	5.38337317940574	7.31027586699924e-08	1.52337420380662e-05	0.517339483980033	0.0960942455846506	5.38337317940574	7.31027586699924e-08	1.52337420380662e-05
"Rgs18"	426.534133600328	0.694013633031338	0.200864773824096	3.45512864111808	0.000550030321220992	0.0270486817390394	0.510368599874007	0.147703506902213	3.45512864111808	0.000550030321220992	0.0270486817390394
"Dhx40"	2994.50586381567	0.573614726311142	0.122370066878567	4.68754116871051	2.76507089893283e-06	0.000374814756222332	0.506079844816656	0.107958841785255	4.68754116871051	2.76507089893283e-06	0.000374814756222332
"Fyn"	878.640474518106	0.580225779596491	0.129159662272341	4.49231415899067	7.0453390363128e-06	0.000826613643907557	0.505128854261952	0.112423308201807	4.49231415899067	7.0453390363128e-06	0.000826613643907557
"Adam8"	770.189363189951	0.590510310024276	0.14076638352192	4.19496683263391	2.72911519662281e-05	0.00242700040606673	0.501865001251384	0.119616934389212	4.19496683263391	2.72911519662281e-05	0.00242700040606673
"Crtap"	406.838246442812	0.64336434450225	0.178307894223508	3.60816523185336	0.00030837008418193	0.0181665110352241	0.501312648529754	0.138896406458464	3.60816523185336	0.00030837008418193	0.0181665110352241
"Acvr2a"	666.732276305524	0.588041587459428	0.142506966793283	4.12640589222861	3.68476687799595e-05	0.00317572315744318	0.497926928611114	0.120641895611577	4.12640589222861	3.68476687799595e-05	0.00317572315744318
"Ptk2"	382.147992974727	0.663267161238818	0.19650083967625	3.37539097711543	0.000737108906596023	0.0343050485129789	0.493432698597806	0.146152259354273	3.37539097711543	0.000737108906596023	0.0343050485129789
"Mid1"	2126.26899103896	0.553832277181497	0.117590697152883	4.7098307144267	2.47922625440553e-06	0.000349646029939495	0.493071176175784	0.104683973221448	4.7098307144267	2.47922625440553e-06	0.000349646029939495
"Cox5a"	977.480684525973	0.589461688759726	0.148586527445436	3.96712743001676	7.27441026328175e-05	0.00570591663460336	0.492537693797433	0.124142374970979	3.96712743001676	7.27441026328175e-05	0.00570591663460336
