"baseMean"	"log2FoldChange.x"	"lfcSE.x"	"stat.x"	"pvalue.x"	"padj.x"	"log2FoldChange.y"	"lfcSE.y"	"stat.y"	"pvalue.y"	"padj.y"
"Cspg4"	542.717653250316	2.47480148598024	0.201363585136719	12.2902136664876	1.02235451728076e-34	7.10945331317038e-31	2.14395789860695	0.173779353438965	12.2902136664876	1.02235451728076e-34	7.10945331317038e-31
"Mmp9"	791.586953607318	1.7730830766208	0.209210825876762	8.47510194173818	2.34873773499724e-17	3.26662444183416e-14	1.51974884001808	0.179184032079347	8.47510194173818	2.34873773499724e-17	3.26662444183416e-14
"Dpysl3"	857.383723828457	1.50125236131776	0.159579777164966	9.40753514003116	5.07907619532016e-21	1.17732986207521e-17	1.3687544970394	0.145377816944604	9.40753514003116	5.07907619532016e-21	1.17732986207521e-17
"Igf2r"	435.767563769504	1.48012089083701	0.211510133084969	6.9978722496591	2.5987888003667e-12	1.90231340186843e-09	1.26493676896274	0.180544543850389	6.9978722496591	2.5987888003667e-12	1.90231340186843e-09
"Vldlr"	121.484862989446	1.75616716122325	0.334730915237914	5.24650422556588	1.55012294977231e-07	3.08146014861975e-05	1.23007593887763	0.23400106483169	5.24650422556588	1.55012294977231e-07	3.08146014861975e-05
"Aldh1a2"	111.615915105235	1.86785807782332	0.372103740592439	5.01972400183197	5.17457728570016e-07	8.27218630913998e-05	1.22055101591766	0.243095438539374	5.01972400183197	5.17457728570016e-07	8.27218630913998e-05
"Retnla"	338.466644709667	1.4930954015309	0.24994060298077	5.97380090999372	2.31788646685464e-09	8.26593973872164e-07	1.20615134900019	0.20171117813553	5.97380090999372	2.31788646685464e-09	8.26593973872164e-07
"S100a4"	2497.07461802005	1.29021241661916	0.138296023979587	9.32935293070755	1.06519204666462e-20	2.11638442643023e-17	1.20277426753362	0.128898258443361	9.32935293070755	1.06519204666462e-20	2.11638442643023e-17
"Cd109"	141.374186821181	1.55704439631454	0.287140381808304	5.42258941953356	5.87418125167439e-08	1.40858815255668e-05	1.18505932108833	0.217974755573159	5.42258941953356	5.87418125167439e-08	1.40858815255668e-05
"Fgfr1"	581.544748461996	1.30113000311975	0.180097487542099	7.22458719928337	5.0262626495896e-13	4.11207417238189e-10	1.15833633963001	0.160201952169667	7.22458719928337	5.0262626495896e-13	4.11207417238189e-10
"Hr"	191.614483965738	1.44990066095662	0.280238417157126	5.1738111985684	2.29366597672085e-07	4.4305981116991e-05	1.11617561429145	0.21540910416744	5.1738111985684	2.29366597672085e-07	4.4305981116991e-05
"Cd59a"	44.5030680576212	2.74523061620837	0.608489368132985	4.51155066954006	6.43554052764403e-06	0.000653324800426812	1.11033808434082	0.25427748913261	4.51155066954006	6.43554052764403e-06	0.000653324800426812
"Cfp"	2799.72100921944	1.17747167548995	0.15474601790679	7.60905961534457	2.76097386284765e-14	2.74283032032036e-11	1.07923036611878	0.141817937501111	7.60905961534457	2.76097386284765e-14	2.74283032032036e-11
"Phyhd1"	519.845445597794	1.22027865164524	0.20633023405928	5.91420184835656	3.3348872124968e-09	1.13125881344891e-06	1.05028175754828	0.1774719028375	5.91420184835656	3.3348872124968e-09	1.13125881344891e-06
"Ctsk"	218.950831291291	1.49460502809486	0.337932501153133	4.42279160185774	9.74337133401954e-06	0.000897422572937376	1.04034176293772	0.235387576106862	4.42279160185774	9.74337133401954e-06	0.000897422572937376
"Cfb"	165.819409693624	1.52246068523293	0.352502029371006	4.31901254001163	1.56728877556536e-05	0.00134671977334157	1.03216701044771	0.2390970276075	4.31901254001163	1.56728877556536e-05	0.00134671977334157
"Fabp5"	341.558641580238	1.24697808979833	0.237682199293972	5.24640925362708	1.55092184644365e-07	3.08146014861975e-05	1.02645025799411	0.195483126604291	5.24640925362708	1.55092184644365e-07	3.08146014861975e-05
"Cd209a"	783.235973108651	1.14340089191059	0.181929936758565	6.28484191377457	3.28187477668111e-10	1.41792076149079e-07	1.01561931275071	0.161530364488635	6.28484191377457	3.28187477668111e-10	1.41792076149079e-07
"Ccl17"	215.113724812087	1.81545553558386	0.459840600293795	3.94801053761663	7.88033367732105e-05	0.00500455163398087	0.99628002033212	0.25485711021277	3.94801053761663	7.88033367732105e-05	0.00500455163398087
"Trem1"	773.315068563007	1.17963075006317	0.221974867666087	5.31425364711858	1.07095357693662e-07	2.30489760815021e-05	0.993445653165357	0.186890779154883	5.31425364711858	1.07095357693662e-07	2.30489760815021e-05
"Atp10a"	126.384236921148	1.50524721165651	0.367217077445456	4.09906647623187	4.14819888982997e-05	0.00308519519570884	0.993330893222268	0.24240522207312	4.09906647623187	4.14819888982997e-05	0.00308519519570884
"Chad"	54.5720298823475	5.27881623357893	0.951178948304361	5.54976142290503	2.8605970014269e-08	7.36762649923063e-06	0.993241757798338	0.230233373239904	5.54976142290503	2.8605970014269e-08	7.36762649923063e-06
"Folr2"	336.593085803138	1.14597450919282	0.213540910414066	5.36653378020501	8.02641736412798e-08	1.80050665645632e-05	0.976672324601252	0.181829762123894	5.36653378020501	8.02641736412798e-08	1.80050665645632e-05
"Rgs18"	205.452389893717	1.22903890183837	0.261866093094558	4.69338694183128	2.68718527140181e-06	0.00033975793413324	0.974588319368327	0.20744097955675	4.69338694183128	2.68718527140181e-06	0.00033975793413324
"Gpr171"	174.245641156023	1.23312535808561	0.26596799877152	4.63636739675936	3.54585487528072e-06	0.000407029107138174	0.971565476069429	0.20927367227083	4.63636739675936	3.54585487528072e-06	0.000407029107138174
"Adora2b"	275.028997965944	1.153181325556	0.225915145559986	5.10448877917219	3.31689953718349e-07	5.69523935347506e-05	0.965711779324015	0.189005422038488	5.10448877917219	3.31689953718349e-07	5.69523935347506e-05
"Gfra2"	132.162159259779	1.72245565677122	0.450499475911805	3.82343542860953	0.00013160506841299	0.00782206534823872	0.965446866270147	0.254157873310876	3.82343542860953	0.00013160506841299	0.00782206534823872
"Il4i1"	195.133940019224	1.22028091681881	0.26450951863901	4.6133724150933	3.96187496590415e-06	0.00043409192362013	0.963616568235876	0.20865300183237	4.6133724150933	3.96187496590415e-06	0.00043409192362013
"Lyz1"	989.916812148025	1.21333794342802	0.269926750920731	4.49506371372707	6.95491192671459e-06	0.000695891475372277	0.949739565318081	0.211340754242472	4.49506371372707	6.95491192671459e-06	0.000695891475372277
"Cd226"	91.9252019920047	1.68213426534988	0.449251605951481	3.74430328810345	0.000180895037381642	0.0100635527196155	0.945961236234422	0.253989997977419	3.74430328810345	0.000180895037381642	0.0100635527196155
"Gm21188"	353.764272305569	1.19336180206939	0.262526589256198	4.54567975552675	5.47582407283343e-06	0.000572614745902011	0.945340705065103	0.207886014269117	4.54567975552675	5.47582407283343e-06	0.000572614745902011
"S100a6"	1514.42173369024	1.09726335102888	0.206747805759646	5.30725512175206	1.11288364627816e-07	2.33286871931874e-05	0.943835590784835	0.177823517073514	5.30725512175206	1.11288364627816e-07	2.33286871931874e-05
"Alox15"	31.9757101592263	4.70815212239206	0.9668533210762	4.86956192812312	1.1184592774634e-06	0.000165484379052777	0.934936217522735	0.22971440460426	4.86956192812312	1.1184592774634e-06	0.000165484379052777
"Rarb"	57.2513012916301	2.03011978368318	0.550344089614833	3.68881908971529	0.000225297341601058	0.0120982062818051	0.929684419124781	0.256095352263763	3.68881908971529	0.000225297341601058	0.0120982062818051
"Akr1c13"	124.024954815667	1.22652512696942	0.290045337453088	4.22873588570546	2.35008033822504e-05	0.00190028589209499	0.929064532053166	0.219344980739293	4.22873588570546	2.35008033822504e-05	0.00190028589209499
"Vdr"	232.202687657772	1.16771002211451	0.260391522137949	4.48443947993011	7.3105850808865e-06	0.000726254409321211	0.928198212748908	0.206813291463247	4.48443947993011	7.3105850808865e-06	0.000726254409321211
"Zbtb46"	192.968098813844	1.16790083531345	0.261164125274288	4.47190376582873	7.7526315972961e-06	0.000759321128557705	0.927366360391902	0.207125347819193	4.47190376582873	7.7526315972961e-06	0.000759321128557705
"Epb41l1"	403.539468693722	1.02793717028026	0.176381433270154	5.82792163110402	5.61219207877867e-09	1.81521784724776e-06	0.919236761461467	0.157614827286374	5.82792163110402	5.61219207877867e-09	1.81521784724776e-06
"Ankrd28"	187.210148408494	1.14024541579853	0.256684134731811	4.44221228160396	8.90386505470482e-06	0.000832367437081262	0.911672617819005	0.205004601948865	4.44221228160396	8.90386505470482e-06	0.000832367437081262
"Fads2"	257.066787398773	1.63989210500386	0.455427325349408	3.60077670733904	0.000317267970653836	0.0153747837486187	0.909668964914913	0.254607155567731	3.60077670733904	0.000317267970653836	0.0153747837486187
"Ear2"	794.917514785262	1.21563925590764	0.29855994880048	4.07167559075387	4.66761567062385e-05	0.00334028639093758	0.907254455316355	0.222955741520804	4.07167559075387	4.66761567062385e-05	0.00334028639093758
"Car5b"	57.4607196714254	1.59533293235274	0.445831639398303	3.57833045341021	0.000345796074244354	0.0164703143855838	0.905454950554301	0.253582561259832	3.57833045341021	0.000345796074244354	0.0164703143855838
"Mcemp1"	436.797250540193	1.12154503445499	0.25230611338898	4.44517581992119	8.78200155190557e-06	0.000830884881523147	0.902863758097502	0.203047163604523	4.44517581992119	8.78200155190557e-06	0.000830884881523147
"Dcn"	137.288448191623	2.13342498355059	0.584828389010354	3.64795044775575	0.000264340602854605	0.0135662328579404	0.901942892000781	0.254505942821538	3.64795044775575	0.000264340602854605	0.0135662328579404
"Lypd2"	67.1493195138863	5.61266369648773	1.00492116672286	5.58517810386173	2.33460831971495e-08	6.49394650211909e-06	0.901859080985316	0.223378433037015	5.58517810386173	2.33460831971495e-08	6.49394650211909e-06
"Sh2d4a"	38.0864663605754	2.1259826424578	0.59038513994609	3.60100974535357	0.000316983693535157	0.0153747837486187	0.900951360619625	0.254750324891047	3.60100974535357	0.000316983693535157	0.0153747837486187
