"baseMean"	"log2FoldChange.x"	"lfcSE.x"	"stat.x"	"pvalue.x"	"padj.x"	"log2FoldChange.y"	"lfcSE.y"	"stat.y"	"pvalue.y"	"padj.y"
"Cspg4"	525.710900543387	2.25419070520893	0.139897352132062	16.113176345761	2.06156531092236e-58	2.98164190918701e-54	1.97299948585169	0.122153017500752	16.113176345761	2.06156531092236e-58	2.98164190918701e-54
"Cd109"	172.881842530818	1.66380583286174	0.169392245688509	9.82220777638947	9.03429201432876e-23	1.18784514002943e-19	1.37811027873203	0.139696805075795	9.82220777638947	9.03429201432876e-23	1.18784514002943e-19
"Cd226"	127.206267496361	1.84385102539258	0.218399748253228	8.44255105667379	3.10485732692793e-17	1.87106464663994e-14	1.37127977209753	0.161561281997775	8.44255105667379	3.10485732692793e-17	1.87106464663994e-14
"Dpysl3"	1072.05173880426	1.31918654384392	0.106547906138486	12.3811587825039	3.3053563987075e-35	7.96756159908443e-32	1.21738199528635	0.0984000584329929	12.3811587825039	3.3053563987075e-35	7.96756159908443e-32
"Gm21188"	549.893684250908	1.32368238162638	0.146659363584125	9.025556563711	1.78784228940359e-19	1.23131252531639e-16	1.14657689562355	0.126767473980803	9.025556563711	1.78784228940359e-19	1.23131252531639e-16
"S100a4"	2612.75622606368	1.21568186587817	0.0953432056878278	12.7505872821032	3.09405539890217e-37	1.49164410781074e-33	1.1404576472116	0.0894406513065204	12.7505872821032	3.09405539890217e-37	1.49164410781074e-33
"AA467197"	444.305688859185	1.26182040937552	0.139251403662045	9.06145558459061	1.28721179494907e-19	9.30847209517418e-17	1.10381051350181	0.121990686824344	9.06145558459061	1.28721179494907e-19	9.30847209517418e-17
"Rarb"	59.3623695078297	1.77138767171049	0.299944469374295	5.90571873322327	3.51112578917247e-09	4.65884516411022e-07	1.06694128012265	0.181093712078685	5.90571873322327	3.51112578917247e-09	4.65884516411022e-07
"Igf2r"	407.15973426025	1.18791220996098	0.147818444810286	8.03629216560608	9.25978026679583e-16	4.9601556295803e-13	1.02511858978831	0.127524875459444	8.03629216560608	9.25978026679583e-16	4.9601556295803e-13
"S100a6"	1482.99384900642	1.13982911932233	0.140702698611497	8.1009755361522	5.45202145042634e-16	3.03279177836601e-13	0.996774018101096	0.123038739030442	8.1009755361522	5.45202145042634e-16	3.03279177836601e-13
"Tiam2"	49.1898937612564	1.46939569060497	0.257114095249142	5.71495580271914	1.09732540704873e-08	1.2902940944834e-06	0.986678307743566	0.172983569970318	5.71495580271914	1.09732540704873e-08	1.2902940944834e-06
"Hmgn3"	34.4294199281576	2.01942587440096	0.376871463555755	5.35839422637051	8.39648703386696e-08	7.98936789281697e-06	0.985981476347958	0.185796791102861	5.35839422637051	8.39648703386696e-08	7.98936789281697e-06
