Probeset_ID,Gene Symbol,LMIsW,Sample_,Sample_,Sample_
10338001,---,7.36,18.89,4.78,2.36
10338003,---,5.05,22.07,-3.81,0.06
10338004,---,-3.84,14.74,-22.01,-8.36
10338017,---,17.03,28.81,13.03,13.26
10338025,---,4.88,33.25,-14.54,-5.15
10338026,---,16.15,28.93,12.95,11.88
10338029,---,3.61,33.74,-13.56,-13.67
10338035,---,9.00,31.75,-3.33,1.31
10338036,---,2.86,31.74,-14.11,-12.13
10338037,---,-36.87,-29.14,-33.55,-49.81
10338041,---,1.26,27.47,-16.39,-20.23
10338042,---,-13.47,18.24,-31.36,-27.15
10338044,---,-39.46,-14.10,-42.95,-57.31
10338047,---,-62.39,-57.72,-61.18,-67.18
10338056,---,-53.12,-47.85,-61.84,-51.10
10338059,---,21.19,31.17,19.91,15.97
10338060,---,-31.39,-23.42,-32.30,-38.70
10338064,---,-15.32,-36.21,-24.65,22.28
10338065,---,-15.32,-36.21,-24.65,22.28
10338066,---,-15.32,-36.21,-24.65,22.28
10338067,---,-15.32,-36.21,-24.65,22.28
10338068,---,48.26,42.03,53.14,49.44
10338069,---,15.04,78.86,-35.03,-11.57
10338070,---,-64.95,-66.49,-74.31,-54.12
10338071,---,-40.68,-43.63,-51.43,-28.03
10338072,---,5.75,-12.34,73.05,-45.78
10338073,---,34.76,-17.03,26.94,76.53
10338074,---,0.30,-5.07,11.91,-5.04
10338075,---,79.75,77.14,84.34,77.04
10338076,---,-11.08,7.22,-35.57,-18.16
10338077,---,64.61,65.99,72.36,54.08
10338078,---,-22.60,10.41,-56.48,-22.48
10338079,---,-45.41,-41.36,-29.43,-64.23
10338080,---,-42.10,-7.68,-68.27,-52.43
10338081,---,69.09,81.47,45.40,74.65
10338082,---,-17.68,-15.92,-27.45,-9.53
10338083,---,92.60,95.16,80.46,94.77
10338084,---,-40.35,-52.17,-55.40,-13.00
10338085,---,-39.15,-17.44,-44.44,-51.03
10338086,---,42.05,73.39,-6.37,43.52
10338087,---,-88.77,-92.06,-92.49,-78.05
10338088,---,-23.96,40.74,-55.41,-55.72
10338089,---,2.55,13.60,67.91,-62.73
10338090,---,-80.95,-77.81,-53.20,-96.21
10338091,---,15.65,17.06,38.90,-11.03
10338092,---,68.91,64.53,81.29,56.22
10338093,---,39.64,31.20,38.64,48.95
10338094,---,36.81,31.92,22.08,55.29
10338095,---,18.55,15.93,18.85,21.21
10338096,---,-2.63,23.98,25.88,-50.55
10338097,---,-6.74,-48.43,42.01,-4.27
10338098,---,22.19,50.46,40.05,-26.08
10338099,---,-12.70,-19.93,28.25,-45.24
10338100,---,-72.71,-44.63,-92.01,-77.15
10338101,---,30.34,29.75,75.35,-29.02
10338102,---,0.63,87.30,-65.28,-30.22
10338103,---,38.16,78.33,22.26,-8.70
10338104,---,47.65,26.69,61.91,44.45
10338105,---,95.39,96.88,93.59,95.05
10338106,---,9.32,11.51,17.13,-1.10
10338107,---,-11.65,-33.84,-16.97,17.64
10338108,---,54.02,59.03,1.24,80.82
10338109,---,9.27,9.16,32.74,-12.09
10338110,---,-30.53,-27.35,-57.53,-2.22
10338111,---,-71.20,-86.77,-63.31,-62.60
10338112,---,-35.88,-43.89,-22.51,-42.21
10338113,---,25.60,42.65,-4.75,37.73
10338114,---,55.60,69.39,42.88,50.65
10338115,---,-56.62,-48.74,-69.14,-51.69
10338116,---,94.44,95.64,93.71,94.17
10338117,---,-66.86,-62.38,-52.42,-79.42
10338118,---,-86.45,-97.96,-85.60,-58.68
10338119,---,42.60,35.66,54.40,37.85
10338120,---,69.01,76.37,53.77,69.71
10338121,---,-44.56,-45.60,-80.34,-2.19
10338122,---,-60.50,-45.18,-72.04,-60.50
10338123,---,-72.10,-72.43,-65.77,-76.06
10338124,---,-55.97,-47.07,-49.94,-71.43
