Probeset_ID,Gene Symbol,MF Lu CD11b+ CD24-,Sample_,Sample_
10338001,---,85.98,92.30,75.46
10338003,---,81.42,90.06,60.53
10338004,---,60.28,82.39,25.36
10338017,---,90.78,95.75,83.50
10338025,---,52.68,79.55,16.05
10338026,---,89.84,94.61,83.96
10338029,---,84.46,92.40,66.93
10338035,---,62.32,83.82,27.63
10338036,---,57.14,85.44,13.49
10338037,---,97.62,99.59,89.84
10338041,---,86.47,92.30,75.78
10338042,---,84.57,92.00,67.65
10338044,---,88.26,93.20,79.35
10338047,---,92.44,96.88,86.99
10338056,---,-3.56,-1.04,-12.13
10338059,---,83.85,90.75,73.24
10338060,---,94.39,96.49,90.25
10338064,---,95.71,98.55,87.13
10338065,---,95.71,98.55,87.13
10338066,---,95.71,98.55,87.13
10338067,---,95.71,98.55,87.13
10338068,---,-26.66,-15.98,-37.35
10338069,---,-96.40,-91.62,-99.17
10338070,---,-14.73,45.38,-67.55
10338071,---,-11.39,42.52,-60.27
10338072,---,-11.72,-19.79,-4.59
10338073,---,51.54,76.82,13.38
10338074,---,-89.99,-93.64,-84.40
10338075,---,-97.02,-86.63,-99.14
10338076,---,-17.00,-26.13,-9.36
10338077,---,81.56,79.50,83.59
10338078,---,-50.31,-44.42,-55.60
10338079,---,49.88,55.66,43.20
10338080,---,31.68,37.92,24.26
10338081,---,59.45,86.89,11.70
10338082,---,-71.30,-78.38,-63.75
10338083,---,-42.46,-95.97,11.81
10338084,---,-14.54,16.95,-42.56
10338085,---,81.15,82.04,80.37
10338086,---,-36.19,-28.80,-43.28
10338087,---,-31.38,-40.39,-21.52
10338088,---,55.11,94.43,-80.95
10338089,---,43.06,-0.46,70.90
10338090,---,-0.25,-52.33,55.33
10338091,---,-76.46,-94.75,-33.26
10338092,---,74.56,92.24,32.69
10338093,---,-28.73,-69.66,23.45
10338094,---,-6.30,-3.39,-9.73
10338095,---,-89.06,-97.16,-78.21
10338096,---,89.23,94.95,78.66
10338097,---,37.96,85.68,-41.39
10338098,---,-45.27,-49.32,-40.68
10338099,---,-42.06,11.32,-82.20
10338100,---,-46.55,-86.36,-15.56
10338101,---,-15.74,-7.66,-23.29
10338102,---,-0.18,-3.07,6.06
10338103,---,-47.09,-47.34,-46.95
10338104,---,-98.45,-96.62,-99.17
10338105,---,71.95,42.41,90.00
10338106,---,18.13,18.91,17.24
10338107,---,6.15,-31.75,46.42
10338108,---,36.90,65.20,-1.29
10338109,---,2.05,40.02,-34.38
10338110,---,-75.48,-52.60,-89.62
10338111,---,32.42,24.03,40.18
10338112,---,48.17,54.01,42.13
10338113,---,36.71,53.67,16.39
10338114,---,24.90,-28.53,66.16
10338115,---,-55.82,-85.81,-22.00
10338116,---,-74.60,-83.07,-63.89
10338117,---,-81.36,-89.29,-68.80
10338118,---,-15.21,-11.05,-19.65
10338119,---,76.18,87.29,57.29
10338120,---,-70.98,-82.64,-50.21
10338121,---,-15.13,-49.79,22.84
10338122,---,51.80,-9.50,82.16
10338123,---,-5.87,15.09,-34.28
10338124,---,-56.64,-32.77,-79.75
10338125,---,-58.76,-58.13,-59.11
10338126,---,46.62,64.38,15.06
10338127,---,-13.27,-2.95,-24.08
10338128,---,-73.32,-86.39,-55.20
10338129,---,76.62,77.60,75.29
10338130,---,72.18,54.50,82.94
10338131,---,80.67,87.16,67.75
10338132,---,72.33,85.42,49.31
10338133,---,-74.57,-42.13,-91.81
10338134,---,95.65,96.72,94.39
10338135,---,10.83,21.90,-1.17
10338136,---,-57.42,-78.02,-26.58
10338137,---,22.01,79.49,-54.81
10338138,---,13.21,3.49,30.21
10338139,---,-23.32,-27.07,-19.60
10338140,---,12.54,-27.48,56.52
10338141,---,-78.43,-89.06,-64.17
10338142,---,-54.19,-28.60,-72.04
10338143,---,-19.26,-20.99,-17.32
10338144,---,-62.97,-73.26,-49.71
10338145,---,-71.05,-29.83,-92.29
10338146,---,-41.49,-40.29,-42.74
10338147,---,5.76,-15.39,18.13
10338148,---,-52.96,-59.34,-46.31
10338149,---,-39.44,-43.90,-34.80
10338150,---,25.31,2.93,45.92
10338151,---,63.28,76.66,47.32
10338152,---,79.05,58.98,90.93
10338153,---,-68.44,-98.35,-24.07
10338154,---,47.82,39.50,55.67
10338155,---,-43.75,-60.06,-20.95
10338156,---,-65.08,-75.92,-50.24
10338157,---,-14.56,-28.01,-1.23
10338158,---,43.66,-11.25,78.06
10338159,---,20.44,53.78,-15.43
10338160,---,77.17,68.66,84.71
