Probeset_ID,Gene Symbol,Mo Bl Ly6C- IIint,Sample_,Sample_,Sample_,Sample_,Sample_
10338001,---,79.80,86.50,77.44,89.43,49.60,79.58
10338003,---,40.36,30.98,16.52,56.59,29.96,68.18
10338004,---,39.21,43.61,29.62,46.35,19.04,58.23
10338017,---,70.78,88.10,66.04,76.72,42.42,75.80
10338025,---,34.95,30.29,31.00,42.11,23.58,45.88
10338026,---,76.43,92.08,79.16,79.98,54.56,71.42
10338029,---,34.35,36.59,22.38,36.66,24.17,52.99
10338035,---,40.41,33.68,21.91,51.99,27.97,64.66
10338036,---,46.08,49.82,34.28,53.13,32.10,59.10
10338037,---,40.98,36.36,43.54,44.99,32.42,45.25
10338041,---,74.99,88.39,81.42,84.01,38.52,60.26
10338042,---,45.93,45.98,29.31,51.94,32.50,66.51
10338044,---,81.98,89.62,78.46,90.04,67.43,74.53
10338047,---,71.28,73.44,64.78,70.82,67.02,77.79
10338056,---,-57.18,-55.97,-52.39,-50.44,-69.45,-58.23
10338059,---,74.86,80.82,58.40,80.12,57.72,89.30
10338060,---,45.69,35.43,24.83,40.36,43.93,72.28
10338064,---,-14.61,-9.81,64.85,-71.98,-36.77,-19.08
10338065,---,-14.61,-9.81,64.85,-71.98,-36.77,-19.08
10338066,---,-14.61,-9.81,64.85,-71.98,-36.77,-19.08
10338067,---,-14.61,-9.81,64.85,-71.98,-36.77,-19.08
10338068,---,81.99,85.35,73.06,86.59,79.74,81.59
10338069,---,86.78,97.03,71.36,90.71,91.79,57.12
10338070,---,-38.94,-36.90,-39.07,-31.27,-54.98,-33.68
10338071,---,89.54,84.11,91.71,74.34,66.47,99.40
10338072,---,-25.11,-31.42,-66.97,32.07,-0.33,-53.51
10338073,---,-15.18,-31.53,-64.57,-4.27,-4.63,39.46
10338074,---,-43.24,-55.65,-43.43,-41.49,0.18,-65.20
10338075,---,-3.82,-78.34,12.44,-50.86,69.93,53.17
10338076,---,-34.61,-27.58,-1.93,-33.39,-70.82,-54.73
10338077,---,80.93,90.08,94.62,89.99,56.64,54.91
10338078,---,-17.04,9.54,-13.66,6.45,-34.94,-52.00
10338079,---,63.39,65.91,38.53,86.26,64.76,42.12
10338080,---,38.56,70.68,37.23,46.61,19.11,0.93
10338081,---,29.50,92.22,33.84,74.34,-95.16,46.39
10338082,---,13.06,14.25,0.22,35.58,25.13,-12.22
10338083,---,70.66,94.61,53.29,44.26,60.97,66.96
10338084,---,-3.02,37.72,32.14,17.38,-47.99,-38.41
10338085,---,81.13,75.94,93.69,83.82,81.13,56.12
10338086,---,3.33,58.54,3.99,-1.12,-7.09,-39.17
10338087,---,10.21,11.68,-3.62,26.65,19.89,-5.01
10338088,---,-13.85,-24.16,-49.53,-10.28,-14.26,35.11
10338089,---,-29.19,-38.86,-18.86,-17.22,6.23,-67.45
10338090,---,89.75,99.46,88.66,97.62,37.49,75.86
10338091,---,28.11,70.70,-1.77,8.80,12.82,30.53
10338092,---,-46.88,-1.41,-63.39,-74.77,-64.20,-11.65
10338093,---,-39.53,30.29,-71.95,7.12,-84.91,-51.16
10338094,---,-51.28,-49.15,-67.35,-40.86,-14.94,-77.89
10338095,---,-9.75,-75.47,-47.84,-70.06,41.49,27.02
10338096,---,47.70,85.60,-72.28,60.23,62.67,64.46
10338097,---,-63.68,-70.00,-60.85,-61.98,-74.60,-48.74
10338098,---,58.34,30.91,63.77,44.68,71.92,71.04
10338099,---,86.79,92.53,88.61,84.32,70.23,91.52
10338100,---,-37.85,-75.02,-41.36,-54.41,-18.72,-14.04
10338101,---,54.53,77.02,40.64,80.34,32.15,27.64
10338102,---,-16.21,13.27,-5.97,-35.76,-49.15,-13.98
10338103,---,82.62,93.37,85.19,84.66,50.33,78.83
10338104,---,-62.72,-86.31,-76.93,-87.74,-17.02,-9.66
10338105,---,90.60,93.69,93.56,90.98,78.42,89.08
10338106,---,-22.19,-73.06,-17.67,-35.05,23.30,18.91
10338107,---,41.98,54.59,3.99,67.67,15.40,51.94
10338108,---,54.71,70.46,61.86,-24.24,70.03,73.97
10338109,---,43.62,75.73,44.15,63.71,4.26,25.55
10338110,---,32.43,49.13,37.07,35.34,25.59,14.02
10338111,---,0.42,15.54,18.85,-4.08,-26.02,-23.73
10338112,---,93.52,93.13,92.48,94.60,93.02,94.44
10338113,---,85.62,92.13,77.10,95.17,75.62,67.92
10338114,---,92.85,96.49,90.79,92.31,86.79,94.56
