Probeset_ID,Gene Symbol,MF BM,Sample_,Sample_,Sample_
10338001,---,83.16,81.84,81.94,85.28
10338003,---,74.80,68.53,74.10,80.20
10338004,---,71.52,63.14,70.66,78.59
10338017,---,62.41,67.59,54.44,65.35
10338025,---,62.95,53.68,60.45,72.14
10338026,---,59.10,67.16,52.20,58.07
10338029,---,67.92,66.11,64.37,72.73
10338035,---,74.33,67.18,73.86,80.60
10338036,---,70.39,69.65,67.02,74.02
10338037,---,84.33,71.46,87.57,90.06
10338041,---,78.32,78.26,77.73,79.14
10338042,---,66.81,62.58,60.85,76.42
10338044,---,66.30,64.27,64.90,69.29
10338047,---,74.16,69.72,72.97,79.14
10338056,---,-17.02,-30.27,-11.57,-13.52
10338059,---,69.88,73.98,64.91,71.07
10338060,---,79.42,71.49,77.61,86.05
10338064,---,27.52,-11.25,23.62,64.46
10338065,---,27.52,-11.25,23.62,64.46
10338066,---,27.52,-11.25,23.62,64.46
10338067,---,27.52,-11.25,23.62,64.46
10338068,---,-19.86,-43.06,-8.29,-11.24
10338069,---,-8.43,2.14,-44.24,20.24
10338070,---,-16.19,1.59,-3.99,-51.74
10338071,---,-4.69,-6.58,-22.89,25.24
10338072,---,-18.29,-82.12,-0.24,37.32
10338073,---,-44.91,65.17,-79.64,-84.54
10338074,---,-96.90,-95.09,-95.52,-98.56
10338075,---,-28.55,-26.60,-42.07,-16.80
10338076,---,-75.19,-95.99,-48.00,-51.80
10338077,---,53.94,39.39,46.54,72.17
10338078,---,-40.57,-27.09,-21.13,-72.64
10338079,---,-24.77,-7.55,21.26,-74.57
10338080,---,-25.10,-17.09,-53.63,-8.27
10338081,---,-47.25,-51.01,-52.52,-38.10
10338082,---,5.49,3.79,37.15,-30.18
10338083,---,-40.89,-25.73,-56.36,-41.64
10338084,---,38.04,-9.53,70.15,41.72
10338085,---,38.87,43.14,32.54,41.56
10338086,---,-95.57,-75.41,-97.55,-99.49
10338087,---,-74.00,-43.51,-71.60,-91.03
10338088,---,-42.94,-65.70,-74.06,0.45
10338089,---,47.35,74.42,-14.27,60.26
10338090,---,-43.58,-65.69,-23.36,-39.11
10338091,---,1.20,-53.13,59.69,5.36
10338092,---,18.91,-60.40,78.04,18.09
10338093,---,-2.47,90.05,-42.27,-85.55
10338094,---,-96.79,-77.74,-97.31,-99.70
10338095,---,-70.77,-57.69,-84.92,-65.11
10338096,---,-28.08,-74.66,8.40,-7.06
10338097,---,-26.71,-15.30,-21.00,-45.78
10338098,---,-8.42,-27.58,-5.29,9.22
10338099,---,-87.80,-86.34,-83.82,-92.27
10338100,---,-46.27,-73.26,-52.55,-20.60
10338101,---,35.44,16.53,55.34,30.80
10338102,---,-34.10,-60.94,-41.35,-9.76
10338103,---,-54.76,-38.14,-55.90,-66.65
10338104,---,-93.38,-85.67,-95.45,-94.91
10338105,---,-49.87,-49.55,-61.89,-36.43
10338106,---,62.12,59.73,55.62,70.83
10338107,---,-70.97,-46.66,-81.60,-77.37
10338108,---,60.53,18.71,47.82,88.96
10338109,---,-71.50,-58.90,-72.30,-82.26
10338110,---,-84.87,-96.34,-69.29,-81.57
10338111,---,-14.70,-19.38,-9.20,-14.26
10338112,---,53.90,43.22,51.83,64.03
10338113,---,-86.19,-90.95,-88.55,-74.74
10338114,---,28.58,37.62,51.46,-9.29
10338115,---,-50.87,-26.26,-55.82,-69.32
10338116,---,55.37,49.15,64.50,52.12
10338117,---,79.32,67.66,84.95,81.34
10338118,---,-12.37,25.43,-80.19,33.43
10338119,---,11.47,23.49,44.28,-29.59
10338120,---,60.54,44.22,64.67,69.73
10338121,---,-9.03,-0.65,5.28,-30.58
10338122,---,-47.64,-74.18,-63.71,3.32
10338123,---,37.68,38.17,61.83,13.32
10338124,---,-18.88,-19.41,-23.56,-14.64
10338125,---,-26.55,-84.05,53.11,-37.85
10338126,---,-0.70,14.58,-1.08,-4.51
10338127,---,66.69,49.10,72.41,75.14
10338128,---,71.48,67.78,70.20,75.96
10338129,---,-55.86,-43.72,-55.46,-68.73
10338130,---,-20.71,-46.02,-2.67,-16.28
10338131,---,-31.80,-42.04,-46.17,-6.15
10338132,---,-0.73,32.99,-11.33,-5.33
10338133,---,-78.59,-40.24,-89.36,-89.77
10338134,---,44.50,72.47,-17.31,64.00
10338135,---,20.00,1.70,51.83,-1.54
10338136,---,-10.67,-29.12,15.02,-15.30
10338137,---,-55.12,-8.06,-46.34,-84.48
10338138,---,98.47,95.43,99.03,99.31
10338139,---,5.79,58.17,7.49,-49.23
10338140,---,-68.06,-79.52,-64.71,-57.40
10338141,---,-57.75,-58.50,-75.68,-36.42
10338142,---,57.70,20.38,82.09,57.67
10338143,---,-5.95,-28.91,-8.29,33.84
10338144,---,75.05,61.93,81.40,77.34
10338145,---,-36.13,-13.93,-61.13,-27.51
10338146,---,-75.16,-70.98,-38.94,-94.64
10338147,---,-70.23,-16.47,-79.10,-81.45
10338148,---,-48.81,-10.66,-65.20,-66.49
10338149,---,51.85,21.52,62.73,63.42
10338150,---,46.73,29.52,61.22,47.13
10338151,---,-22.60,11.76,-36.49,-42.98
10338152,---,-22.10,-11.53,-13.75,-39.52
10338153,---,-75.55,-29.29,-91.17,-94.16
10338154,---,-13.97,8.92,-70.62,30.74
10338155,---,-93.46,-38.09,-98.82,-98.46
10338156,---,-55.79,-82.08,-30.65,-37.36
10338157,---,-57.83,-57.13,-72.06,-41.09
10338158,---,19.91,-42.17,28.29,71.02
10338159,---,-60.70,-67.62,15.88,-96.88
10338160,---,71.24,53.01,76.32,78.26
10338161,---,-78.76,-50.38,-61.90,-96.49
10338162,---,-89.28,-58.17,-94.44,-96.06
10338163,---,-34.84,-30.27,-50.01,-25.67
10338164,---,-14.79,38.12,-7.97,-69.10
10338165,---,-54.68,-99.49,26.86,-54.43
10338166,---,-88.67,-76.86,-89.04,-91.90
10338167,---,-49.97,-62.84,-38.41,-49.46
10338168,---,22.70,34.29,6.85,29.86
10338169,---,-62.76,-4.48,-83.18,-83.93
10338170,---,-45.84,-54.58,-41.72,-40.74
10338171,---,-67.46,-27.63,-93.22,-81.30
10338172,---,22.38,30.60,-19.36,55.37
10338173,---,-13.26,-19.79,-33.44,20.96
10338174,---,-1.07,23.73,-25.81,-8.13
10338175,---,-56.01,-31.66,-58.56,-78.65
10338176,---,41.36,55.54,32.92,35.46
10338177,---,-19.95,19.24,-37.68,-39.78
10338178,---,-51.00,-39.68,-57.20,-54.94
10338179,---,1.59,19.67,-5.80,-7.25
10338180,---,86.52,90.04,83.65,85.13
10338181,---,8.88,-9.17,-5.12,44.51
10338182,---,-54.44,-67.69,-54.97,-38.42
10338183,---,-45.19,-71.04,-21.08,-48.65
10338184,---,-51.22,-22.05,-16.80,-87.88
10338185,---,-21.54,31.01,-80.31,-5.88
10338186,---,-66.94,-84.71,-59.33,-48.68
10338187,---,9.19,-29.20,10.47,44.91
10338188,---,62.62,54.61,73.37,59.23
10338189,---,-34.31,-11.54,-31.68,-59.11
10338190,---,82.04,82.75,86.15,74.91
10338191,---,-24.67,-85.32,6.89,32.48
10338192,---,18.55,10.74,43.95,1.58
10338193,---,-55.47,-54.69,-52.45,-59.23
10338194,---,-43.82,-17.02,-42.31,-76.84
10338195,---,43.54,35.12,29.18,63.76
10338196,---,58.05,59.12,51.50,63.47
10338197,---,52.46,58.22,1.77,77.91
10338198,---,-60.86,-5.28,-73.49,-87.67
10338199,---,7.95,70.95,-28.33,-15.86
10338200,---,-65.50,-54.49,-86.17,-48.10
10338201,---,-40.98,15.71,-86.08,-18.42
10338202,---,87.02,67.27,86.24,95.41
10338203,---,38.55,73.92,10.11,28.90
10338204,---,52.47,33.40,23.18,83.92
10338205,---,-72.19,-68.39,-81.94,-60.90
10338206,---,-14.43,-12.87,-31.21,-4.43
10338207,---,1.98,-49.07,-0.82,70.17
10338208,---,-50.82,-42.81,-75.96,-28.00
10338209,---,54.55,33.19,45.20,73.60
10338210,---,23.92,7.40,6.62,52.81
10338211,---,24.74,-4.11,68.86,-5.94
10338212,---,-59.36,-81.58,-51.96,-42.84
10338213,---,-23.95,-16.39,-28.85,-27.14
10338214,---,89.15,87.45,87.72,92.03
10338215,---,-76.64,-28.64,-94.42,-88.01
10338216,---,24.23,10.18,21.68,39.44
10338217,---,86.96,79.77,89.90,90.72
10338218,---,0.84,-42.56,14.21,32.87
10338219,---,-22.62,-25.05,-21.67,-21.91
10338220,---,-32.47,-59.08,-45.22,7.97
10338221,---,81.09,66.84,84.81,87.13
10338222,---,-73.83,-35.78,-66.94,-97.14
10338223,---,64.60,39.03,72.79,73.88
10338224,---,-70.56,-70.50,-39.50,-88.72
10338225,---,-67.06,-35.63,-77.49,-79.08
10338226,---,-8.19,-5.51,-10.60,-8.77
10338227,---,60.95,79.53,73.83,11.89
10338228,---,-6.76,-30.84,6.47,2.99
10338229,---,-64.99,-93.31,-45.16,-49.82
10338230,---,-48.79,-54.08,-63.01,-28.13
10338231,---,75.39,65.39,81.80,78.59
10338232,---,-38.67,-27.76,-36.16,-53.38
10338233,---,56.11,7.39,14.39,93.93
10338234,---,-37.83,-7.62,-70.79,-31.50
10338235,---,-47.05,-61.05,-56.34,-26.84
10338236,---,-48.94,-8.27,-84.19,-48.35
10338237,---,49.31,43.54,18.85,73.20
10338238,---,-27.14,13.75,-57.68,-35.78
10338239,---,-22.75,-11.55,74.47,-94.02
10338240,---,-26.91,17.50,-35.57,-63.29
10338241,---,-50.27,-95.20,-21.21,-46.40
10338242,---,-38.01,-2.26,-48.64,-67.12
10338243,---,-14.45,5.50,31.09,-70.46
10338244,---,21.56,12.08,38.25,17.22
10338245,---,-41.38,-58.23,-28.81,-41.69
10338246,---,21.14,-19.19,76.43,-9.38
10338247,---,29.53,63.29,43.76,-23.68
10338248,---,-67.19,-47.07,-98.00,-30.34
10338249,---,1.18,-6.64,32.70,-24.46
10338250,---,26.63,26.35,43.19,7.97
