Probeset_ID,Gene Symbol,Mo BM Ly6C+ II-,Sample_,Sample_,Sample_
10338001,---,84.69,83.20,80.35,89.34
10338003,---,73.33,64.43,66.86,83.89
10338004,---,77.18,66.90,69.08,87.20
10338017,---,76.76,77.50,71.31,80.71
10338025,---,66.79,51.84,55.69,83.95
10338026,---,75.21,73.44,78.06,73.96
10338029,---,68.02,52.99,59.33,82.43
10338035,---,74.76,65.44,68.64,85.01
10338036,---,73.90,64.16,71.14,82.80
10338037,---,88.65,74.84,86.38,95.68
10338041,---,81.59,79.07,74.84,87.34
10338042,---,68.40,61.79,57.69,81.48
10338044,---,79.03,76.13,74.70,84.62
10338047,---,75.46,73.52,75.00,77.70
10338056,---,-9.82,-32.86,-13.84,-2.25
10338059,---,76.75,77.13,70.96,81.37
10338060,---,82.14,80.27,82.94,82.60
10338064,---,-41.80,-12.14,-35.46,-90.17
10338065,---,-41.80,-12.14,-35.46,-90.17
10338066,---,-41.80,-12.14,-35.46,-90.17
10338067,---,-41.80,-12.14,-35.46,-90.17
10338068,---,81.14,81.31,63.86,88.94
10338069,---,-91.71,-80.20,-93.47,-96.09
10338070,---,-32.00,-43.96,-50.49,-7.02
10338071,---,-8.97,-51.50,-67.60,79.59
10338072,---,-64.21,-93.67,-90.84,38.73
10338073,---,14.25,-73.76,48.14,73.27
10338074,---,-94.81,-93.80,-96.16,-93.52
10338075,---,-1.99,-25.86,2.20,29.02
10338076,---,-7.16,-32.80,-1.87,-0.79
10338077,---,78.61,72.25,84.19,78.94
10338078,---,-86.74,-90.86,-95.88,-60.06
10338079,---,-16.29,62.92,-54.67,-49.60
10338080,---,-40.72,-84.81,-59.96,24.46
10338081,---,31.50,39.31,18.47,36.13
10338082,---,36.72,54.32,38.10,16.85
10338083,---,-40.36,-19.17,-99.14,2.40
10338084,---,54.49,16.37,57.78,76.37
10338085,---,71.71,78.02,63.63,72.00
10338086,---,-84.96,-81.01,-95.07,-71.65
10338087,---,-74.79,-89.90,-80.11,-35.27
10338088,---,-13.00,13.92,-58.01,-0.10
10338089,---,59.09,31.40,41.32,82.23
10338090,---,-19.35,-16.11,-17.82,-24.39
10338091,---,9.02,44.26,-21.72,6.77
10338092,---,17.17,-6.76,65.90,-20.26
10338093,---,-42.86,-82.67,-60.13,35.86
10338094,---,-96.33,-94.27,-96.39,-97.74
10338095,---,-84.94,-93.40,-74.68,-83.67
10338096,---,-1.75,-50.33,6.47,43.97
10338097,---,-36.07,-22.60,-99.87,51.95
10338098,---,58.61,48.09,56.16,69.01
10338099,---,-57.14,-23.50,-76.75,-65.20
10338100,---,-11.13,-42.81,-40.84,58.37
10338101,---,-34.13,-30.64,-64.63,7.01
10338102,---,8.46,-12.46,4.86,43.34
10338103,---,-6.44,-29.71,-10.83,26.09
10338104,---,-96.81,-98.21,-93.24,-97.74
10338105,---,9.53,-1.57,-26.42,60.52
10338106,---,60.82,45.22,65.46,69.80
10338107,---,-42.38,-19.55,23.83,-93.86
10338108,---,55.48,46.92,-6.42,90.84
10338109,---,-69.90,-80.29,-67.79,-61.38
10338110,---,-71.24,-79.24,-70.08,-62.60
10338111,---,-8.00,18.89,-44.37,2.16
10338112,---,95.59,95.64,94.50,96.40
10338113,---,-39.93,-70.25,-84.59,39.94
