Probeset_ID,Gene Symbol,MF CNS,Sample_,Sample_,Sample_
10338001,---,95.38,94.22,94.92,97.02
10338003,---,91.61,91.77,89.38,93.90
10338004,---,91.45,93.48,84.40,93.31
10338017,---,85.83,84.92,80.60,90.45
10338025,---,89.80,91.43,81.19,92.76
10338026,---,82.05,82.48,77.80,85.63
10338029,---,89.23,90.22,79.38,93.41
10338035,---,92.52,93.19,88.08,95.02
10338036,---,91.68,92.98,86.79,93.75
10338037,---,92.59,98.21,73.95,92.15
10338041,---,92.48,92.77,90.12,94.29
10338042,---,89.74,90.13,84.68,93.18
10338044,---,93.42,92.91,90.59,96.21
10338047,---,92.23,97.13,81.33,96.33
10338056,---,-10.82,-3.85,-33.64,-10.62
10338059,---,87.83,86.33,87.52,89.46
10338060,---,95.75,97.90,89.00,96.43
10338064,---,19.16,49.14,1.95,-0.27
10338065,---,19.16,49.14,1.95,-0.27
10338066,---,19.16,49.14,1.95,-0.27
10338067,---,19.16,49.14,1.95,-0.27
10338068,---,6.96,63.30,25.36,-57.05
10338069,---,-43.29,-40.07,-43.84,-46.69
10338070,---,-1.35,66.87,9.79,-73.05
10338071,---,42.10,-13.93,43.21,78.30
10338072,---,63.43,-39.55,78.22,91.50
10338073,---,40.11,32.77,54.18,34.29
10338074,---,-91.68,-97.54,-76.07,-91.15
10338075,---,-92.68,-59.19,-99.64,-75.86
10338076,---,-54.44,-70.35,-60.59,-28.98
10338077,---,97.74,93.14,99.74,96.90
10338078,---,-63.10,-87.40,-1.01,-88.21
10338079,---,40.14,90.09,-28.05,15.12
10338080,---,-26.28,50.34,-85.65,-43.76
10338081,---,4.71,-76.60,78.91,11.11
10338082,---,-31.23,-19.90,7.02,-65.84
10338083,---,82.53,91.40,93.36,29.83
10338084,---,29.71,63.96,20.16,-5.28
10338085,---,31.99,4.27,57.74,54.88
10338086,---,-82.59,-89.79,-51.47,-92.37
10338087,---,-90.14,-99.20,-70.34,-85.55
10338088,---,17.16,86.76,-73.83,-2.66
10338089,---,82.40,55.65,82.40,92.31
10338090,---,-37.39,-21.53,-19.73,-70.16
10338091,---,-59.97,-78.31,-54.17,-43.46
10338092,---,25.79,70.45,13.54,-25.42
10338093,---,41.74,76.78,-12.03,26.14
10338094,---,-58.23,-91.51,-12.23,-52.04
10338095,---,-95.10,-86.74,-95.05,-99.16
10338096,---,93.26,89.57,93.53,95.63
10338097,---,-66.71,-95.60,-70.23,-19.85
10338098,---,58.95,82.17,84.12,-30.99
10338099,---,-49.47,-65.15,3.38,-74.94
