Probeset_ID,Gene Symbol,MF SP,Sample_,Sample_,Sample_
10338001,---,79.35,87.90,73.86,73.03
10338003,---,69.38,86.00,57.99,53.62
10338004,---,61.35,78.14,56.65,42.97
10338017,---,83.70,75.80,90.54,81.85
10338025,---,64.89,81.21,62.49,43.03
10338026,---,78.56,71.80,84.63,78.42
10338029,---,62.04,74.53,63.51,42.20
10338035,---,63.44,84.10,51.88,43.27
10338036,---,66.62,77.59,68.03,51.82
10338037,---,71.19,81.21,66.10,62.23
10338041,---,75.12,81.79,75.93,65.58
10338042,---,73.44,83.87,69.58,61.30
10338044,---,82.92,86.01,79.96,82.41
10338047,---,92.02,98.40,85.01,89.86
10338056,---,-40.58,-27.49,-45.33,-50.76
10338059,---,75.85,81.93,71.75,72.63
10338060,---,91.50,95.92,87.19,90.08
10338064,---,-10.64,-0.44,30.81,-63.38
10338065,---,-10.64,-0.44,30.81,-63.38
10338066,---,-10.64,-0.44,30.81,-63.38
10338067,---,-10.64,-0.44,30.81,-63.38
10338068,---,97.19,97.36,95.90,98.09
10338069,---,59.42,67.69,71.30,33.52
10338070,---,-21.37,-1.76,-10.74,-58.96
10338071,---,31.37,-14.23,73.79,12.94
10338072,---,-18.31,-73.96,25.78,-0.50
10338073,---,-9.53,7.63,-17.83,-16.84
10338074,---,-63.39,-84.55,-33.85,-50.09
10338075,---,-71.48,-79.18,-44.74,-84.24
10338076,---,-28.39,-34.19,-17.08,-34.68
10338077,---,10.03,-17.65,31.16,32.00
10338078,---,11.16,-19.20,59.56,-9.41
10338079,---,78.94,90.86,62.51,76.69
10338080,---,-13.09,-11.20,-28.60,-2.65
10338081,---,28.93,64.69,-65.42,71.43
10338082,---,58.84,63.02,52.38,59.66
10338083,---,22.32,-30.45,76.59,3.59
10338084,---,83.77,88.67,78.55,81.27
10338085,---,92.70,81.11,97.79,92.66
10338086,---,-4.37,-25.12,-2.61,16.00
10338087,---,77.50,16.36,97.50,71.74
10338088,---,-68.96,-71.21,-70.20,-65.19
10338089,---,-69.17,-69.87,-94.24,-20.82
10338090,---,60.57,50.36,71.81,57.75
10338091,---,-17.14,-63.75,32.92,-7.57
10338092,---,62.86,54.10,71.82,59.37
10338093,---,18.43,58.99,-43.68,45.30
10338094,---,-11.10,-0.09,-19.68,-17.12
10338095,---,-97.05,-99.70,-96.29,-88.70
10338096,---,57.11,62.09,11.21,79.67
10338097,---,-7.04,-33.26,-4.19,23.31
10338098,---,60.48,87.07,45.98,29.27
10338099,---,61.44,89.29,53.40,19.67
10338100,---,-1.28,6.85,-8.78,9.18
10338101,---,59.82,26.19,76.24,69.55
10338102,---,-46.86,-58.93,-78.38,-13.30
10338103,---,33.41,53.99,33.94,7.92
10338104,---,-58.06,-72.24,-35.99,-62.27
10338105,---,93.18,81.98,96.09,95.20
10338106,---,-47.74,-4.29,-38.70,-75.65
10338107,---,5.33,70.62,-14.45,-47.38
10338108,---,62.29,73.29,53.64,56.04
10338109,---,50.10,14.67,74.92,56.32
10338110,---,53.74,-13.33,69.92,77.40
10338111,---,6.54,1.99,3.96,14.30
10338112,---,97.60,97.22,98.69,97.11
10338113,---,90.09,17.62,99.10,90.91
10338114,---,93.53,91.60,98.07,85.17
10338115,---,6.84,-3.64,24.35,-0.34
10338116,---,-62.35,-57.45,-60.85,-67.33
10338117,---,-65.41,-91.83,7.93,-66.40
10338118,---,48.99,80.46,-0.88,37.75
10338119,---,74.42,63.76,91.85,46.11
10338120,---,-84.55,-94.26,-48.26,-84.70
10338121,---,88.10,54.77,99.05,82.07
10338122,---,55.20,78.92,-29.49,76.28
10338123,---,-9.04,-21.19,22.92,-38.05
10338124,---,-3.20,-8.74,17.81,-8.92
10338125,---,95.37,98.93,90.09,88.20
10338126,---,6.85,42.95,9.17,-12.08
10338127,---,-3.36,-5.29,34.75,-35.82
10338128,---,-66.25,-59.16,-58.39,-78.36
10338129,---,80.44,76.69,93.96,59.39
10338130,---,76.45,45.50,90.90,75.64
10338131,---,94.75,98.60,93.34,82.95
10338132,---,92.35,73.58,99.10,61.57
10338133,---,44.76,41.19,20.16,66.87
10338134,---,-12.76,-5.04,-40.09,8.44
