Probeset_ID,Gene Symbol,Mo Bl Ly6C- II-,Sample_,Sample_
10338001,---,88.83,86.32,90.75
10338003,---,75.29,40.17,89.63
10338004,---,68.50,29.62,87.29
10338017,---,78.20,62.99,88.48
10338025,---,60.54,17.42,85.23
10338026,---,72.19,65.58,78.47
10338029,---,58.93,21.90,82.47
10338035,---,72.59,37.16,88.14
10338036,---,71.59,42.69,87.13
10338037,---,64.24,36.96,81.39
10338041,---,81.34,74.11,85.87
10338042,---,68.27,28.88,87.94
10338044,---,89.37,87.83,90.51
10338047,---,75.13,66.60,82.52
10338056,---,-41.64,-62.59,-24.98
10338059,---,78.18,66.60,86.26
10338060,---,56.69,19.16,80.73
10338064,---,54.99,-6.84,84.85
10338065,---,54.99,-6.84,84.85
10338066,---,54.99,-6.84,84.85
10338067,---,54.99,-6.84,84.85
10338068,---,77.05,77.95,75.53
10338069,---,88.70,96.74,67.37
10338070,---,-1.20,24.46,-15.94
10338071,---,83.88,96.50,41.46
10338072,---,-49.44,-71.34,-27.09
10338073,---,58.01,73.74,36.82
10338074,---,-53.50,-20.12,-74.75
10338075,---,-41.64,-44.04,-38.84
10338076,---,-38.42,-38.03,-38.74
10338077,---,77.92,92.98,54.65
10338078,---,-72.69,-24.88,-96.57
10338079,---,75.81,89.49,50.32
10338080,---,-15.49,-23.33,-9.23
10338081,---,80.09,85.17,72.53
10338082,---,-15.07,42.18,-64.51
10338083,---,17.47,59.61,-22.10
10338084,---,44.05,57.74,27.35
10338085,---,43.21,60.54,27.35
10338086,---,48.60,42.12,54.27
10338087,---,6.68,3.64,10.13
10338088,---,-17.27,-8.27,-28.29
10338089,---,-24.45,-32.91,-15.36
10338090,---,83.45,98.03,38.99
10338091,---,71.57,81.78,57.84
10338092,---,63.34,66.28,59.95
10338093,---,9.90,24.41,-2.83
10338094,---,-42.25,-25.52,-59.49
10338095,---,-11.48,-79.91,18.70
10338096,---,74.86,77.91,71.58
10338097,---,-58.38,-63.01,-53.50
10338098,---,85.69,87.34,84.05
10338099,---,82.36,89.96,72.42
10338100,---,-66.49,-66.96,-65.95
10338101,---,36.06,40.51,30.96
10338102,---,-26.16,-54.11,-7.49
10338103,---,67.61,95.75,-29.43
10338104,---,-80.31,-85.27,-73.60
10338105,---,59.48,79.90,31.30
10338106,---,38.04,7.15,60.96
10338107,---,82.18,79.53,85.38
10338108,---,85.10,59.85,95.03
10338109,---,-2.91,37.53,-41.20
10338110,---,18.93,61.15,-27.90
10338111,---,-11.16,3.21,-27.06
10338112,---,92.26,94.17,89.43
10338113,---,48.05,88.41,-23.34
10338114,---,84.13,85.75,81.75
10338115,---,-37.50,10.14,-84.18
10338116,---,-3.53,-8.47,0.28
10338117,---,-4.45,-74.18,67.63
10338118,---,56.21,82.52,-1.75
10338119,---,94.81,84.51,97.84
10338120,---,-7.11,-16.21,1.90
10338121,---,19.96,82.50,-53.22
10338122,---,-19.31,-0.22,-39.65
10338123,---,-8.10,-15.14,-0.14
10338124,---,-6.89,-2.61,-12.06
10338125,---,63.28,88.85,6.01
10338126,---,-52.50,-73.00,-34.36
10338127,---,27.85,-1.18,51.53
10338128,---,3.27,-7.73,14.41
10338129,---,61.54,84.13,10.25
10338130,---,-46.62,-30.20,-63.43
10338131,---,87.20,95.95,64.14
10338132,---,-16.64,-27.08,-8.09
10338133,---,54.93,71.59,35.36
10338134,---,-36.34,-42.08,-30.83
10338135,---,-3.99,11.13,-13.97
10338136,---,71.65,82.65,56.32
10338137,---,47.18,82.77,-14.46
10338138,---,37.44,26.43,49.83
10338139,---,9.39,74.39,-61.05
10338140,---,-36.90,-17.16,-58.45
10338141,---,-9.53,-14.73,-5.22
10338142,---,-1.64,12.37,-14.33
10338143,---,-7.30,-67.60,46.20
10338144,---,-41.19,-66.48,-11.64
10338145,---,61.12,67.65,54.21
10338146,---,-23.33,-5.05,-47.54
10338147,---,-2.15,9.40,-30.17
10338148,---,-65.07,-91.35,-24.27
10338149,---,23.71,34.23,13.28
10338150,---,32.61,-18.10,75.50
10338151,---,89.87,89.05,90.64
10338152,---,88.34,92.99,82.40
10338153,---,75.93,97.02,23.63
10338154,---,89.13,99.40,38.17
10338155,---,-3.86,53.59,-63.77
10338156,---,43.86,88.23,-48.11
10338157,---,27.92,56.14,-5.80
