Probeset_ID,Gene Symbol,DCLuLN CD103+,Sample_,Sample_,Sample_
10338001,---,73.57,86.01,50.25,73.76
10338003,---,63.31,80.35,41.99,60.53
10338004,---,29.87,56.50,5.94,31.22
10338017,---,75.51,80.25,71.72,73.64
10338025,---,17.60,42.22,-2.41,14.55
10338026,---,62.75,68.98,62.15,56.71
10338029,---,64.54,76.67,47.66,63.51
10338035,---,27.20,55.60,-1.64,29.52
10338036,---,23.56,47.79,1.96,25.98
10338037,---,89.73,95.16,75.51,91.59
10338041,---,76.06,84.74,63.30,74.67
10338042,---,65.78,80.86,47.93,62.75
10338044,---,68.72,88.40,37.91,65.53
10338047,---,86.91,82.60,86.19,92.44
10338056,---,-12.04,-6.35,-30.21,-10.00
10338059,---,75.48,82.77,62.18,80.19
10338060,---,91.72,92.29,89.80,92.91
10338064,---,-8.75,14.15,54.87,-93.35
10338065,---,-8.75,14.15,54.87,-93.35
10338066,---,-8.75,14.15,54.87,-93.35
10338067,---,-8.75,14.15,54.87,-93.35
10338068,---,8.70,22.73,-4.39,12.40
10338069,---,-7.57,-29.97,43.23,-33.36
10338070,---,-24.10,-37.29,-19.50,-16.88
10338071,---,63.20,71.35,59.74,57.25
10338072,---,-63.73,-59.90,-82.47,-44.49
10338073,---,27.49,82.50,-56.89,35.33
10338074,---,-5.07,-4.15,19.34,-31.05
10338075,---,-97.56,-93.32,-91.22,-99.89
10338076,---,-21.56,-23.63,-24.30,-16.86
10338077,---,96.61,91.58,99.22,95.51
10338078,---,-51.02,-23.56,-83.30,-41.92
10338079,---,36.88,-30.95,27.24,84.68
10338080,---,25.00,43.22,43.03,-11.86
10338081,---,75.01,94.53,-5.98,87.62
10338082,---,26.49,26.42,51.85,2.09
10338083,---,-24.72,-65.80,-14.64,-0.84
10338084,---,-12.23,-2.91,21.81,-51.98
10338085,---,87.42,81.15,93.08,85.68
10338086,---,16.32,3.71,27.28,16.88
10338087,---,-26.24,-6.48,6.23,-60.78
10338088,---,-45.69,-92.82,24.94,-64.75
10338089,---,41.56,-55.45,52.97,86.12
10338090,---,69.63,60.03,80.01,66.22
10338091,---,-20.42,56.97,-57.01,-48.45
10338092,---,52.15,63.95,72.23,-0.87
10338093,---,4.70,21.72,27.69,-20.14
10338094,---,-15.29,12.19,-54.97,-15.51
10338095,---,-90.02,-69.48,-92.36,-98.88
10338096,---,35.37,70.94,-5.23,28.35
10338097,---,29.12,36.75,-50.36,80.96
10338098,---,20.96,16.64,-24.75,63.43
