Probeset_ID,Gene Symbol,MF SI,Sample_,Sample_,Sample_,Sample_,Sample_,Sample_,Sample_
10338001,---,60.55,67.14,74.07,41.60,39.92,68.46,65.89,60.55
10338003,---,56.80,65.25,69.85,34.25,44.98,65.48,55.08,56.28
10338004,---,43.53,61.73,48.76,33.57,30.19,39.17,39.25,49.17
10338017,---,47.89,61.89,22.69,50.57,34.98,56.04,75.70,53.12
10338025,---,43.17,56.88,59.95,28.04,25.04,44.89,41.02,46.72
10338026,---,43.91,68.02,14.55,43.46,37.12,64.28,72.16,55.57
10338029,---,52.82,69.72,55.24,34.64,37.43,56.73,55.15,58.43
10338035,---,47.97,57.59,58.84,28.64,34.18,53.92,47.15,52.42
10338036,---,46.81,52.66,52.47,27.75,25.59,48.35,56.56,61.49
10338037,---,70.67,85.71,83.22,59.14,71.46,67.62,48.31,61.03
10338041,---,48.76,60.97,45.92,30.48,34.99,51.13,60.18,50.71
10338042,---,47.26,61.34,55.03,26.97,29.95,51.17,51.23,52.20
10338044,---,34.60,47.85,15.57,30.51,20.04,40.93,44.82,50.45
10338047,---,76.22,81.59,70.86,72.47,69.59,78.55,78.29,81.50
10338056,---,-37.46,-17.11,-20.73,-48.40,-42.95,-41.10,-45.33,-57.60
10338059,---,62.52,66.16,75.91,49.41,45.76,70.64,75.01,55.97
10338060,---,80.27,83.56,76.59,74.66,70.29,79.59,83.33,87.70
10338064,---,-2.81,60.17,-2.74,11.48,-5.20,41.78,-42.24,-48.18
10338065,---,-2.81,60.17,-2.74,11.48,-5.20,41.78,-42.24,-48.18
10338066,---,-2.81,60.17,-2.74,11.48,-5.20,41.78,-42.24,-48.18
10338067,---,-2.81,60.17,-2.74,11.48,-5.20,41.78,-42.24,-48.18
10338068,---,90.12,93.77,92.65,86.25,85.97,89.28,93.38,89.79
10338069,---,34.61,-3.74,65.45,24.30,69.57,2.08,83.01,-29.48
10338070,---,11.13,-76.16,-21.63,1.64,-17.76,82.00,-2.92,75.03
10338071,---,72.46,70.80,-35.15,93.28,54.63,33.63,91.25,90.00
