Probeset_ID,Gene Symbol,DC Lu CD103+,Sample_,Sample_,Sample_,Sample_,Sample_
10338001,---,61.25,64.06,75.20,90.86,8.64,50.13
10338003,---,45.54,40.01,60.24,88.39,-9.33,29.80
10338004,---,32.26,45.32,59.40,85.06,-38.68,13.29
10338017,---,60.41,63.83,65.29,91.56,24.26,65.40
10338025,---,11.30,22.37,43.54,79.42,-75.83,-10.45
10338026,---,62.59,75.36,82.55,88.82,23.57,55.13
10338029,---,33.51,27.99,34.26,82.83,-22.79,40.23
10338035,---,29.41,35.04,56.97,86.19,-43.36,1.83
10338036,---,21.79,43.05,33.68,85.70,-57.68,4.63
10338037,---,75.18,45.81,70.67,86.42,76.63,82.55
10338041,---,53.59,35.89,55.62,85.74,6.01,64.96
10338042,---,43.15,39.61,58.81,85.54,-15.94,33.17
10338044,---,60.43,69.57,74.41,90.18,3.66,57.06
10338047,---,70.40,67.95,74.87,80.62,72.64,52.79
10338056,---,-28.16,-55.60,-31.23,-12.80,-31.57,-19.85
10338059,---,62.56,73.06,78.61,89.61,30.35,49.93
10338060,---,50.57,28.17,37.58,53.91,71.32,53.06
10338064,---,59.16,-90.27,-14.92,82.90,93.87,89.58
10338065,---,59.16,-90.27,-14.92,82.90,93.87,89.58
10338066,---,59.16,-90.27,-14.92,82.90,93.87,89.58
10338067,---,59.16,-90.27,-14.92,82.90,93.87,89.58
10338068,---,4.66,58.47,-84.10,-71.52,66.22,70.48
10338069,---,-76.31,-65.66,-73.49,-52.99,-73.95,-97.04
10338070,---,-21.39,26.62,-56.46,54.62,-58.78,-68.45
10338071,---,51.96,-7.69,22.02,82.91,75.63,47.21
10338072,---,-46.04,-35.58,-74.67,-29.80,-27.87,-61.28
10338073,---,24.67,82.35,30.78,-2.81,50.67,-60.35
10338074,---,-74.91,-69.66,-60.23,-92.20,-53.10,-67.91
10338075,---,-30.74,-23.15,-41.69,-43.59,-43.43,-1.96
10338076,---,-37.71,-30.99,-42.83,-51.01,-20.03,-46.70
10338077,---,80.62,76.13,73.21,77.88,92.14,79.74
10338078,---,-61.34,-53.37,-55.60,-61.34,-64.65,-71.95
10338079,---,-57.84,-1.32,-56.27,-81.10,-49.63,-81.51
10338080,---,35.07,28.68,42.24,-5.30,8.35,77.11
10338081,---,-19.93,-29.84,-36.31,83.08,-57.58,-66.70
10338082,---,-38.71,-39.99,-83.76,-22.11,-15.68,3.79
10338083,---,-59.99,-99.85,-94.97,-89.73,-40.45,50.57
10338084,---,-2.86,-20.48,-12.94,-31.98,36.07,26.56
10338085,---,93.08,96.40,95.69,94.47,89.82,85.89
10338086,---,-26.77,-28.05,-61.79,-43.97,3.43,1.65
10338087,---,29.01,31.77,-27.13,-0.93,35.49,78.36
10338088,---,-5.04,-33.24,-7.43,-5.92,-17.91,56.31
10338089,---,3.97,-1.72,52.08,-12.70,-9.84,-3.99
10338090,---,4.90,-3.57,-27.15,44.16,-30.25,48.45
10338091,---,-35.32,-66.68,-72.38,24.52,-45.51,7.46
10338092,---,-27.19,-1.09,-71.02,-68.63,22.44,5.47
10338093,---,-31.24,-46.15,-4.80,-57.68,-14.09,-33.10
10338094,---,-41.68,-41.96,-24.54,-50.74,-82.54,-8.41
10338095,---,-67.01,-15.06,-31.31,-49.24,-98.22,-94.41
10338096,---,48.04,54.91,67.68,74.93,-17.76,39.53
10338097,---,-25.94,1.66,-72.65,37.74,-64.06,-20.54
10338098,---,30.87,62.82,90.67,-1.73,-29.53,-28.33
10338099,---,-50.78,33.83,-61.94,-70.00,-37.15,-89.72
10338100,---,-72.02,-98.16,-76.41,-45.87,-92.05,-29.69
10338101,---,-3.24,-13.08,-44.93,-73.08,39.48,77.10
10338102,---,-21.76,-25.00,-77.72,-34.48,22.62,-10.57
10338103,---,38.79,30.31,82.12,-41.97,16.13,69.72
10338104,---,-88.29,-47.30,-85.27,-93.43,-87.43,-96.48
10338105,---,80.06,88.01,-7.97,46.58,96.78,96.31
10338106,---,17.05,-32.39,31.23,16.60,39.57,20.05
