Probeset_ID,Gene Symbol,DCLuLN CD11b+,Sample_,Sample_,Sample_
10338001,---,14.10,2.30,25.69,22.65
10338003,---,0.39,-28.86,13.32,7.26
10338004,---,-31.41,-48.23,-24.66,-19.63
10338017,---,43.64,32.59,60.43,41.44
10338025,---,-52.58,-68.46,-41.84,-49.98
10338026,---,35.97,26.12,50.98,36.87
10338029,---,0.38,-28.65,16.36,5.27
10338035,---,-42.95,-66.94,-33.62,-30.34
10338036,---,-42.63,-68.61,-33.58,-27.28
10338037,---,65.80,61.26,62.41,72.79
10338041,---,11.95,-24.17,30.38,25.93
10338042,---,-1.29,-31.16,12.87,6.74
10338044,---,10.16,-8.09,16.56,20.97
10338047,---,66.51,67.65,65.75,66.43
10338056,---,-43.38,-45.57,-49.77,-35.34
10338059,---,44.34,33.49,62.84,43.17
10338060,---,63.66,68.03,60.03,61.68
10338064,---,-10.27,26.13,-26.65,-20.08
10338065,---,-10.27,26.13,-26.65,-20.08
10338066,---,-10.27,26.13,-26.65,-20.08
10338067,---,-10.27,26.13,-26.65,-20.08
10338068,---,64.70,72.56,51.91,65.49
10338069,---,13.19,51.76,15.68,-26.97
10338070,---,-7.62,-20.49,-17.89,25.38
10338071,---,-10.03,8.75,-8.32,-28.86
10338072,---,-71.30,-35.39,-60.64,-95.15
10338073,---,70.42,73.67,74.61,62.50
10338074,---,15.61,42.06,5.04,-3.41
10338075,---,-82.59,-84.03,-74.32,-87.29
10338076,---,-35.57,-27.03,-49.60,-31.38
10338077,---,91.74,88.11,94.27,91.98
10338078,---,-64.33,-51.46,-73.03,-68.08
10338079,---,20.99,57.71,-2.76,3.06
10338080,---,51.33,46.02,70.83,33.15
10338081,---,33.19,75.66,-19.18,24.93
10338082,---,47.96,79.63,10.37,42.33
10338083,---,-13.34,-3.94,12.14,-51.25
10338084,---,4.43,-51.48,49.02,24.78
10338085,---,81.47,84.12,79.76,80.80
10338086,---,8.16,23.74,-10.43,11.73
10338087,---,44.73,50.10,50.32,32.63
10338088,---,-64.14,-12.55,-97.23,-69.19
10338089,---,-22.95,6.68,5.30,-70.08
10338090,---,46.37,59.99,42.53,35.85
10338091,---,-51.24,-54.51,-74.67,-17.87
10338092,---,53.25,64.33,15.22,67.99
10338093,---,-10.33,42.20,-58.22,-1.54
10338094,---,-29.41,-23.26,-47.87,-21.18
10338095,---,-92.18,-96.85,-87.13,-91.75
10338096,---,-14.18,-53.20,1.15,11.25
10338097,---,56.59,49.19,39.32,74.60
10338098,---,-25.20,-15.68,-39.78,-18.71
10338099,---,-12.20,48.67,-2.33,-73.73
10338100,---,-20.35,-0.60,-33.66,-37.08
10338101,---,28.78,66.96,19.01,-7.90
10338102,---,34.43,8.28,-5.28,75.24
10338103,---,36.05,52.51,68.34,-26.80
10338104,---,-56.58,-22.66,-56.75,-81.55
10338105,---,86.94,88.10,84.85,87.82
10338106,---,-33.65,-36.91,-18.70,-43.22
10338107,---,33.18,27.26,22.30,47.28
10338108,---,5.95,29.92,-1.01,-7.33
10338109,---,37.75,39.97,48.99,24.00
10338110,---,-31.49,-20.45,-44.67,-27.47
10338111,---,21.77,15.58,24.99,23.97
10338112,---,55.48,74.22,62.56,-0.34
10338113,---,21.18,42.11,63.46,-45.04
10338114,---,-16.82,-24.54,-34.51,12.85
10338115,---,23.77,35.39,3.93,32.44
10338116,---,24.25,26.90,31.88,15.33
10338117,---,-42.19,-9.62,-36.50,-69.43
10338118,---,-33.95,-43.09,-30.82,-27.38
10338119,---,30.07,41.61,32.88,13.34
10338120,---,1.53,5.09,8.64,-12.12
10338121,---,66.67,71.45,81.12,43.69
10338122,---,7.24,-38.70,-4.34,63.72
10338123,---,6.32,5.32,15.38,-1.44
10338124,---,-36.59,-17.47,-49.37,-45.26
10338125,---,38.74,59.16,-47.86,79.58
10338126,---,-27.25,-57.83,-51.04,-0.90
10338127,---,-32.58,-49.14,-22.59,-25.78
10338128,---,-46.89,-34.38,-58.47,-48.13
10338129,---,68.98,59.91,80.15,60.27
10338130,---,63.65,64.41,-14.86,92.56
10338131,---,4.41,32.29,-35.67,29.52
10338132,---,-5.05,17.93,-20.92,-4.12
10338133,---,-39.92,-40.30,-65.26,-6.95
10338134,---,68.54,51.66,60.13,85.62
10338135,---,-11.86,-35.13,-16.11,15.44
10338136,---,49.42,84.38,34.49,7.12
10338137,---,12.52,52.11,50.18,-62.67
10338138,---,27.65,34.40,18.83,29.40
10338139,---,-51.21,-69.56,-57.28,-18.73
10338140,---,70.48,72.03,77.34,60.62
10338141,---,-17.01,-8.39,-25.28,-22.57
10338142,---,3.38,17.60,-24.30,18.19
10338143,---,-11.97,-35.87,-6.69,-4.80
10338144,---,-46.08,-43.24,-16.40,-72.40
10338145,---,37.93,64.64,6.52,33.33
10338146,---,-10.56,3.24,-7.30,-31.91
10338147,---,53.69,72.47,34.33,54.16
10338148,---,44.14,52.84,27.91,48.30
10338149,---,-41.90,18.64,-59.61,-75.25
10338150,---,79.15,78.71,82.64,76.06
10338151,---,71.36,69.32,76.66,67.23
10338152,---,92.43,96.62,76.52,95.30
10338153,---,58.53,83.22,57.39,27.21
10338154,---,96.50,95.56,97.18,96.65
10338155,---,47.61,56.42,64.59,19.62
10338156,---,50.31,59.98,-25.83,81.81
10338157,---,3.20,7.44,21.43,-14.81
10338158,---,63.38,82.78,39.81,53.52
10338159,---,25.89,37.43,0.32,38.72
10338160,---,79.27,80.40,85.32,71.28
10338161,---,13.32,-4.09,37.89,1.85
10338162,---,-0.33,20.53,-9.70,-8.23
10338163,---,-71.88,-57.06,-81.53,-71.93
10338164,---,41.32,70.95,6.48,36.72
10338165,---,-75.52,-88.63,-56.63,-77.86
10338166,---,32.51,65.72,7.35,19.44
10338167,---,-72.26,-87.21,-36.61,-84.86
10338168,---,37.00,47.16,50.52,13.48
10338169,---,-36.06,-64.42,-68.37,32.09
10338170,---,87.76,92.12,79.28,89.30
10338171,---,-16.83,-16.61,-52.61,16.31
10338172,---,32.31,43.59,-0.48,46.62
10338173,---,-68.51,-58.92,-82.82,-60.41
10338174,---,87.14,98.14,81.61,66.23
10338175,---,-25.82,-18.20,-54.42,-12.65
10338176,---,95.43,96.36,94.12,95.57
10338177,---,46.34,76.44,28.44,25.91
10338178,---,-14.58,-55.41,36.70,-17.03
10338179,---,51.38,60.76,47.80,45.57
10338180,---,68.36,78.02,51.85,71.23
10338181,---,49.71,71.86,37.19,31.32
10338182,---,12.10,32.05,-46.27,53.26
10338183,---,-21.08,-17.39,-8.16,-40.05
10338184,---,91.82,97.49,89.16,82.73
10338185,---,74.19,95.70,58.32,49.78
10338186,---,37.20,54.75,21.17,30.84
10338187,---,88.03,83.12,92.64,85.82
10338188,---,3.52,-23.29,54.42,-23.79
10338189,---,3.73,-37.00,9.52,47.91
10338190,---,83.27,87.85,78.78,79.77
10338191,---,-44.61,-55.59,-89.45,51.26
10338192,---,65.38,84.13,43.40,58.81
10338193,---,67.84,52.84,76.14,71.74
10338194,---,-32.34,-15.52,-27.67,-56.56
10338195,---,21.43,35.56,14.07,16.54
10338196,---,29.78,27.72,36.71,26.02
10338197,---,33.31,35.59,9.34,51.09
10338198,---,97.32,99.60,94.66,93.35
10338199,---,53.57,82.87,64.30,-4.37
10338200,---,-14.08,5.67,-32.93,-12.53
10338201,---,46.98,65.92,32.45,37.80
10338202,---,61.39,27.88,59.99,83.84
10338203,---,46.90,12.89,42.60,78.88
10338204,---,66.22,60.39,83.85,45.51
10338205,---,-56.35,-45.96,-48.45,-74.12
10338206,---,-7.15,-48.63,-19.48,55.02
10338207,---,-38.63,-58.70,-69.07,-11.48
10338208,---,50.41,57.29,45.31,47.36
10338209,---,68.36,69.96,71.41,63.47
10338210,---,-24.15,-66.88,-11.09,-0.72
10338211,---,32.73,68.43,-11.71,24.61
10338212,---,-22.78,-11.24,-69.38,6.75
10338213,---,-3.82,1.13,-14.97,4.47
10338214,---,14.60,-0.75,11.18,32.49
10338215,---,-26.57,19.70,-83.39,-8.71
10338216,---,-17.85,-8.70,-11.13,-35.88
10338217,---,86.43,90.52,85.58,83.21
10338218,---,23.08,65.23,75.87,-75.38
10338219,---,-6.56,-18.63,-9.97,10.73
10338220,---,-53.98,-64.46,-37.54,-57.54
10338221,---,91.19,95.78,86.35,88.14
10338222,---,36.38,14.16,59.74,30.16
10338223,---,85.85,89.61,83.49,82.75
10338224,---,56.91,30.06,61.26,72.77
10338225,---,66.09,75.03,32.18,82.49
10338226,---,13.93,36.66,-28.87,49.08
10338227,---,57.88,46.05,64.01,62.28
10338228,---,-54.90,-63.77,-35.70,-61.46
10338229,---,-62.76,-63.03,-52.57,-72.51
10338230,---,58.55,60.14,73.64,35.67
10338231,---,-83.22,-87.97,-89.10,-65.74
10338232,---,-22.49,-11.34,-21.67,-37.34
10338233,---,6.26,26.80,-5.00,-0.04
10338234,---,3.80,54.09,-20.92,-15.81
10338235,---,-55.48,-62.55,-74.65,-30.44
10338236,---,36.51,38.95,26.49,42.19
10338237,---,-28.11,29.63,7.98,-87.84
10338238,---,16.19,32.26,8.99,4.02
10338239,---,65.18,64.96,79.01,43.86
10338240,---,18.22,61.89,31.71,-38.10
10338241,---,-33.80,-26.17,-44.63,-31.50
10338242,---,53.23,74.39,34.21,44.79
10338243,---,9.60,30.36,30.33,-32.29
10338244,---,7.41,14.66,4.65,3.78
10338245,---,-71.24,-92.94,-58.64,-56.69
10338246,---,11.69,69.40,29.32,-64.63
10338247,---,-15.51,-38.26,12.11,-18.29
10338248,---,-11.08,12.80,-10.20,-34.66
10338249,---,-47.01,-49.12,-53.83,-37.32
10338250,---,32.82,56.65,56.49,-22.82
