Probeset_ID,Gene Symbol,AMs,Sample_,Sample_,Sample_
10338001,---,9.91,12.19,25.84,-0.23
10338003,---,11.12,17.30,33.78,-14.97
10338004,---,4.59,-2.60,30.19,-9.45
10338017,---,24.97,23.30,44.86,16.65
10338025,---,22.46,16.43,61.32,-11.07
10338026,---,22.32,19.82,44.84,14.58
10338029,---,18.64,21.77,46.13,-5.75
10338035,---,20.71,21.12,49.26,-4.87
10338036,---,26.85,22.18,58.87,2.99
10338037,---,-40.62,-37.64,-35.52,-50.32
10338041,---,19.62,22.51,44.06,-5.03
10338042,---,8.35,12.19,28.08,-16.09
10338044,---,-29.69,-27.49,-15.91,-42.69
10338047,---,-65.76,-64.04,-69.30,-62.93
10338056,---,-43.09,-34.32,-29.63,-70.49
10338059,---,26.02,23.88,52.40,16.21
10338060,---,-37.96,-37.79,-37.90,-38.39
10338064,---,-19.95,-36.52,-13.16,-11.99
10338065,---,-19.95,-36.52,-13.16,-11.99
10338066,---,-19.95,-36.52,-13.16,-11.99
10338067,---,-19.95,-36.52,-13.16,-11.99
10338068,---,-15.05,0.28,-1.93,-48.57
10338069,---,8.24,-27.81,78.48,-38.08
10338070,---,-74.31,-74.74,-71.86,-76.03
10338071,---,-75.13,-99.77,-25.28,-46.92
10338072,---,24.82,72.68,-90.75,80.30
10338073,---,65.46,35.95,89.11,42.42
10338074,---,-21.44,-46.07,10.36,-31.05
10338075,---,90.08,84.99,90.04,93.02
10338076,---,7.22,-16.37,15.93,28.18
10338077,---,40.03,48.19,11.43,65.65
10338078,---,-41.48,-51.09,-43.25,-29.32
10338079,---,-11.74,-63.52,84.92,-65.14
10338080,---,-60.11,-31.84,-72.74,-74.03
10338081,---,38.13,62.92,43.20,1.80
10338082,---,-66.36,-75.36,-77.13,-37.30
10338083,---,95.21,79.97,99.73,91.83
10338084,---,-80.55,-56.50,-84.35,-93.80
10338085,---,-29.27,-55.83,2.67,-25.70
10338086,---,27.03,21.74,55.08,-1.39
10338087,---,-79.04,-60.28,-75.39,-91.40
10338088,---,-25.96,-42.96,-12.28,-24.23
10338089,---,40.19,50.26,18.86,49.94
10338090,---,-74.49,-68.03,-89.56,-58.74
10338091,---,61.39,59.15,73.81,47.27
10338092,---,65.53,56.46,75.55,62.62
10338093,---,58.03,34.99,82.16,28.65
10338094,---,-1.24,-3.87,-12.42,19.58
10338095,---,40.37,58.85,25.82,40.78
10338096,---,-17.71,30.66,-76.49,7.05
10338097,---,-9.28,68.26,-64.83,-23.57
10338098,---,67.33,84.89,63.62,42.65
10338099,---,93.14,78.57,99.16,84.96
10338100,---,-45.18,-30.24,-55.20,-51.68
10338101,---,-68.46,-85.40,-51.48,-59.97
10338102,---,-32.39,-55.13,-17.86,-28.17
10338103,---,33.41,0.53,52.11,42.65
10338104,---,60.91,44.53,65.82,65.78
10338105,---,-12.71,-44.20,-6.55,13.63
10338106,---,37.76,35.71,55.59,18.83
10338107,---,23.56,53.80,24.42,-11.65
10338108,---,53.68,55.44,93.24,-35.97
10338109,---,-53.93,-77.05,-38.22,-44.90
10338110,---,-39.12,-34.92,5.78,-77.55
10338111,---,-64.56,-70.33,-74.03,-54.38
10338112,---,-54.24,-7.76,-86.08,-59.59
10338113,---,52.48,22.65,66.08,59.98
10338114,---,-12.85,-22.16,-4.93,-10.82
10338115,---,-28.46,-1.88,-26.17,-62.73
10338116,---,94.38,92.65,96.40,93.61
10338117,---,-6.08,23.59,-74.30,44.58
10338118,---,-13.50,18.21,23.37,-71.74
10338119,---,-12.74,-7.06,-8.89,-22.87
10338120,---,75.02,72.76,71.76,79.78
10338121,---,-69.93,-64.22,-63.97,-79.30
10338122,---,-55.77,-60.50,-27.08,-73.75
10338123,---,14.85,-43.36,50.95,27.67
10338124,---,-23.23,-1.24,-14.88,-62.77
10338125,---,-90.67,-78.06,-98.48,-80.33
10338126,---,-12.32,76.64,-70.86,-76.84
10338127,---,-81.72,-65.52,-86.06,-86.37
10338128,---,76.20,86.87,14.65,94.34
