Probeset_ID,Gene Symbol,DC Lu CD24+,Sample_,Sample_
10338001,---,35.64,24.84,47.30
10338003,---,21.22,11.10,32.52
10338004,---,0.00,-8.05,4.40
10338017,---,63.02,60.00,65.85
10338025,---,-30.04,-34.42,-24.94
10338026,---,61.92,62.79,60.92
10338029,---,20.20,11.82,30.11
10338035,---,-13.38,-25.01,-0.21
10338036,---,-24.78,-30.45,-17.91
10338037,---,83.66,80.24,86.75
10338041,---,43.78,35.87,50.75
10338042,---,19.12,10.98,28.99
10338044,---,23.95,21.13,27.23
10338047,---,76.90,75.89,77.58
10338056,---,-16.01,-20.12,-12.31
10338059,---,55.31,48.04,63.45
10338060,---,80.27,77.44,82.37
10338064,---,93.98,93.48,94.26
10338065,---,93.98,93.48,94.26
10338066,---,93.98,93.48,94.26
10338067,---,93.98,93.48,94.26
10338068,---,-62.94,-82.88,-38.04
10338069,---,-65.77,-87.82,-32.90
10338070,---,-34.82,-12.18,-62.69
10338071,---,-9.90,-50.42,37.31
10338072,---,-46.28,-49.77,-43.14
10338073,---,36.74,-16.74,75.08
10338074,---,-59.83,-40.39,-73.40
10338075,---,-80.01,-76.63,-82.86
10338076,---,-9.19,-9.52,-8.79
10338077,---,67.16,58.19,74.76
10338078,---,-59.62,-37.07,-79.21
10338079,---,-92.06,-84.10,-96.50
10338080,---,41.94,65.13,7.91
10338081,---,-54.15,-53.50,-55.03
10338082,---,-66.04,-71.34,-58.56
10338083,---,-18.12,-18.31,-17.93
10338084,---,46.37,53.77,38.26
10338085,---,80.75,83.72,77.62
10338086,---,-49.63,-44.19,-54.72
10338087,---,-5.11,-11.66,2.09
10338088,---,-0.91,-11.82,20.97
10338089,---,38.08,-0.80,64.55
10338090,---,-5.34,17.16,-25.67
10338091,---,-81.27,-59.27,-92.51
10338092,---,-0.46,-12.14,14.16
10338093,---,-49.43,-39.26,-59.58
10338094,---,-86.88,-64.14,-96.98
10338095,---,-96.19,-92.13,-98.40
10338096,---,26.76,69.31,-26.52
10338097,---,31.08,82.36,-43.42
10338098,---,-42.03,-33.07,-49.85
10338099,---,-79.05,-56.51,-92.51
10338100,---,-51.59,-73.43,-32.34
10338101,---,-52.66,-68.94,-29.88
10338102,---,-8.18,-40.29,31.14
10338103,---,42.35,54.06,29.12
10338104,---,-72.55,-49.61,-86.15
10338105,---,90.60,92.99,86.59
10338106,---,-17.54,27.70,-57.34
10338107,---,-20.16,-8.54,-32.19
10338108,---,-1.45,54.45,-51.55
10338109,---,22.78,20.34,25.02
10338110,---,-71.49,-58.81,-81.34
10338111,---,31.73,30.15,33.03
10338112,---,-32.70,-25.51,-40.29
10338113,---,34.37,58.62,2.05
10338114,---,-36.11,-16.50,-55.70
10338115,---,-8.08,-12.11,-4.24
10338116,---,-43.52,-29.67,-56.17
10338117,---,-67.46,-71.49,-62.80
10338118,---,58.96,71.97,42.96
10338119,---,39.24,47.68,30.36
10338120,---,-35.11,-48.49,-15.60
10338121,---,-6.36,-19.86,7.64
10338122,---,0.32,-2.97,6.20
10338123,---,9.93,7.67,12.13
10338124,---,-51.56,-63.46,-40.83
10338125,---,-28.16,-18.60,-37.82
10338126,---,-23.48,-21.62,-25.78
10338127,---,38.14,78.61,-22.98
10338128,---,-52.94,-42.05,-62.73
10338129,---,74.86,85.96,53.12
10338130,---,72.61,29.10,90.33
10338131,---,50.22,49.50,51.30
10338132,---,-2.19,-19.48,29.11
10338133,---,-70.79,-54.79,-83.12
10338134,---,65.85,32.96,84.22
10338135,---,-16.31,-12.51,-19.93
10338136,---,35.68,65.10,-3.70
10338137,---,30.24,50.31,10.44
10338138,---,41.24,47.89,35.11
10338139,---,-61.81,-72.52,-48.85
10338140,---,-17.96,-16.02,-19.77
10338141,---,-41.80,-53.15,-32.29
10338142,---,14.78,78.77,-62.46
10338143,---,-53.87,-41.96,-67.62
10338144,---,-25.73,-48.62,-2.73
10338145,---,-69.75,-24.77,-92.15
10338146,---,-80.60,-79.93,-81.29
10338147,---,27.92,29.84,26.06
10338148,---,-34.78,-14.22,-54.20
10338149,---,7.13,-3.51,19.02
10338150,---,84.76,84.63,84.85
10338151,---,67.87,68.18,67.62
10338152,---,96.42,97.80,93.83
10338153,---,-83.07,-68.75,-94.71
10338154,---,59.46,75.23,42.03
10338155,---,9.09,3.69,14.84
10338156,---,-93.76,-96.66,-89.86
10338157,---,-60.34,-67.90,-52.11
10338158,---,34.31,-11.45,68.75
10338159,---,-27.40,-29.45,-25.46
10338160,---,52.72,55.79,49.01
10338161,---,-44.04,-58.39,-28.01
10338162,---,-36.91,-31.24,-42.16
10338163,---,-43.60,-45.08,-41.56
10338164,---,-9.93,6.08,-24.61
10338165,---,-79.54,-98.58,-35.01
10338166,---,14.67,24.22,5.84
10338167,---,-49.54,-33.45,-67.39
10338168,---,-32.43,-37.98,-24.66
10338169,---,-59.97,-50.34,-69.06
10338170,---,-76.16,-84.81,-65.07
10338171,---,-32.40,-23.39,-43.58
10338172,---,10.24,44.00,-18.63
10338173,---,-40.93,-30.63,-52.04
10338174,---,19.39,22.16,16.97
10338175,---,-72.74,-72.25,-73.29
10338176,---,56.10,70.07,41.69
10338177,---,-85.44,-86.67,-84.21
10338178,---,28.80,-3.60,50.78
10338179,---,28.13,32.15,24.43
10338180,---,39.99,49.55,29.55
10338181,---,-65.62,-89.00,-34.12
10338182,---,-60.05,-42.74,-74.04
10338183,---,-48.23,-75.27,-25.13
10338184,---,13.33,-4.84,32.38
10338185,---,-18.22,-7.70,-27.16
10338186,---,-16.13,-38.77,7.93
10338187,---,-22.21,-12.99,-31.07
10338188,---,-12.94,5.38,-31.69
10338189,---,-19.12,-30.61,-8.16
10338190,---,-14.12,10.07,-36.01
10338191,---,44.87,32.90,55.93
10338192,---,13.88,6.85,22.38
10338193,---,85.91,88.18,83.26
10338194,---,-34.73,-5.56,-72.88
10338195,---,17.93,16.31,19.76
10338196,---,22.61,20.23,24.71
10338197,---,60.32,58.98,61.40
10338198,---,19.15,12.82,26.53
10338199,---,-61.59,-51.07,-71.96
10338200,---,-98.07,-96.17,-99.57
10338201,---,-75.89,-95.27,-26.90
10338202,---,60.72,37.35,77.40
10338203,---,64.39,32.65,87.02
10338204,---,96.98,97.08,96.88
10338205,---,-93.26,-97.68,-80.41
10338206,---,31.16,31.93,30.21
10338207,---,-59.40,-54.88,-64.33
10338208,---,-5.78,-1.04,-10.48
10338209,---,23.26,12.84,32.07
10338210,---,-2.12,-42.73,44.77
10338211,---,-80.54,-69.69,-87.73
10338212,---,-25.24,-58.47,4.77
10338213,---,-16.14,-16.26,-16.11
10338214,---,76.63,78.43,74.18
10338215,---,-61.59,-28.59,-86.95
10338216,---,-72.74,-88.62,-47.69
10338217,---,67.18,64.48,69.89
10338218,---,51.50,71.06,25.66
10338219,---,-53.25,-40.76,-64.78
10338220,---,-38.04,-23.05,-53.88
10338221,---,36.93,37.67,36.08
10338222,---,-84.22,-81.63,-87.33
10338223,---,-17.62,23.46,-51.05
10338224,---,75.37,88.43,55.87
10338225,---,-25.12,-9.60,-39.84
10338226,---,-46.71,-56.70,-36.38
10338227,---,-10.22,59.46,-70.89
10338228,---,-46.34,-14.46,-68.08
10338229,---,-35.82,-58.27,-19.78
10338230,---,-62.04,-41.68,-83.01
10338231,---,-58.51,-59.09,-57.84
10338232,---,-30.51,-29.94,-31.11
10338233,---,-55.82,18.72,-94.85
10338234,---,-90.84,-82.77,-96.28
10338235,---,-74.81,-72.63,-76.84
10338236,---,-66.36,-89.73,-34.44
10338237,---,49.31,54.83,43.27
10338238,---,12.40,45.61,-17.91
10338239,---,60.24,68.35,50.02
10338240,---,-86.76,-88.86,-85.14
10338241,---,-52.76,-50.05,-56.43
10338242,---,-22.80,-20.97,-24.69
10338243,---,39.22,43.63,35.13
10338244,---,-8.91,-25.35,3.08
10338245,---,-37.89,-22.76,-62.56
10338246,---,15.33,19.24,11.13
10338247,---,-39.59,-55.51,-23.29
10338248,---,-29.16,-1.16,-69.07
10338249,---,-23.37,-18.93,-28.26
10338250,---,-5.50,-3.05,-8.01
10338251,---,-28.42,-20.63,-37.05
10338252,---,-21.13,-37.60,-5.86
10338253,---,88.11,80.07,93.08
10338254,---,-15.96,-12.29,-19.68
10338255,---,25.73,13.56,37.74
10338256,---,3.48,25.33,-15.75
10338257,---,53.66,71.39,33.14
10338258,---,65.03,38.46,83.31
10338259,---,-57.89,-34.87,-80.74
10338260,---,-81.13,-85.64,-75.76
10338261,---,-44.79,-32.89,-57.02
10338262,---,-49.40,-50.35,-48.23
10338263,---,-68.13,-46.19,-84.30
10338264,---,-20.94,4.07,-47.45
10338265,---,51.22,38.27,61.05
10338266,---,-65.79,-91.30,-21.69
10338267,---,-61.41,15.43,-95.17
10338268,---,-80.73,-84.71,-76.21
10338269,---,-77.40,-54.92,-91.17
10338270,---,54.37,65.72,38.54
10338271,---,-68.43,-80.67,-54.13
10338272,---,20.37,52.72,-11.35
10338273,---,-25.21,-2.58,-49.46
10338274,---,-23.55,5.08,-50.95
10338275,---,63.29,58.47,67.61
10338276,---,-5.09,-4.04,-6.01
10338277,---,-84.20,-75.63,-90.08
10338278,---,64.63,73.19,54.46
10338279,---,38.96,46.99,31.04
10338280,---,12.23,11.40,13.08
10338281,---,19.17,70.80,-39.82
10338282,---,25.82,19.67,31.52
10338283,---,-85.15,-90.15,-79.85
10338284,---,4.94,29.54,-13.12
10338285,---,-56.15,-54.73,-57.47
10338286,---,49.76,50.22,49.47
10338287,---,-19.98,-3.59,-34.84
10338288,---,24.72,33.25,15.87
10338289,---,-61.18,-58.00,-64.85
10338290,---,80.95,77.08,83.02
10338291,---,-84.09,-93.25,-71.80
10338292,---,-21.73,-22.67,-20.77
10338293,---,-45.00,-82.44,6.90
10338294,---,48.07,38.92,57.21
10338295,---,57.84,64.43,50.96
10338296,---,-42.56,-62.85,-23.10
10338297,---,-50.70,-79.10,-18.68
10338298,---,21.05,21.58,20.53
10338299,---,6.72,-0.32,13.26
10338300,---,11.99,2.76,21.44
10338301,---,-57.35,-21.93,-84.76
10338302,---,-52.21,-41.86,-61.69
10338303,---,0.51,-0.98,3.42
10338304,---,-86.61,-81.29,-90.77
