Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II+,Sample_,Sample_,Sample_
10338001,---,92.39,98.51,94.90,73.37
10338003,---,87.40,94.14,86.04,73.75
10338004,---,86.69,95.02,85.21,62.63
10338017,---,80.62,98.00,85.07,38.76
10338025,---,86.02,95.12,81.83,67.54
10338026,---,75.10,94.99,71.63,51.88
10338029,---,84.00,95.02,78.23,60.13
10338035,---,86.53,94.18,85.01,70.29
10338036,---,87.02,95.71,84.08,65.85
10338037,---,80.28,89.13,75.44,73.80
10338041,---,89.35,98.40,92.11,51.26
10338042,---,86.42,95.22,83.72,67.02
10338044,---,92.91,98.62,93.75,83.32
10338047,---,81.21,87.80,82.22,73.94
10338056,---,-23.09,-15.91,-22.21,-34.03
10338059,---,82.02,93.84,85.39,55.10
10338060,---,67.91,77.21,57.37,66.27
10338064,---,63.96,85.91,-1.66,71.98
10338065,---,63.96,85.91,-1.66,71.98
10338066,---,63.96,85.91,-1.66,71.98
10338067,---,63.96,85.91,-1.66,71.98
10338068,---,91.81,93.49,88.66,93.71
10338069,---,67.94,80.56,29.28,78.99
10338070,---,-40.61,-63.32,-80.18,20.51
10338071,---,62.46,50.25,17.92,87.93
10338072,---,-27.47,58.64,-62.64,-70.70
10338073,---,-2.71,41.45,66.58,-86.93
10338074,---,-88.54,-89.65,-88.79,-87.04
10338075,---,-42.23,-33.31,-93.79,46.79
10338076,---,-17.96,-12.30,-28.78,-13.61
10338077,---,55.73,56.64,60.59,49.49
10338078,---,-15.25,-10.35,20.30,-53.98
10338079,---,81.79,70.20,93.32,72.59
10338080,---,45.73,5.94,51.67,66.70
10338081,---,19.32,-57.97,83.59,9.00
10338082,---,0.70,33.78,-36.62,-0.52
10338083,---,-17.66,-73.75,42.68,-19.33
10338084,---,35.25,69.97,58.38,-36.23
10338085,---,85.42,84.50,86.62,84.69
10338086,---,1.51,15.93,36.62,-43.49
10338087,---,-49.15,-68.32,-45.63,-26.04
10338088,---,64.66,49.55,69.26,70.62
10338089,---,30.03,10.56,42.45,33.75
10338090,---,86.07,99.01,95.91,-5.45
10338091,---,-17.87,-42.76,-74.85,73.42
10338092,---,-47.75,-92.86,67.37,-71.37
10338093,---,4.20,-5.51,53.88,-26.28
10338094,---,-53.67,-76.61,-23.96,-55.10
10338095,---,-32.55,-84.10,-88.22,36.32
10338096,---,57.22,73.07,63.11,26.83
10338097,---,-31.05,48.45,-59.02,-70.64
10338098,---,73.18,72.57,54.90,85.62
10338099,---,84.15,94.83,66.10,82.53
10338100,---,-11.99,34.47,-92.73,12.22
10338101,---,47.73,55.72,52.45,36.19
10338102,---,59.89,87.49,-40.14,80.67
10338103,---,84.00,92.45,87.37,53.73
10338104,---,-59.46,-75.17,-77.48,-15.81
10338105,---,83.91,88.51,81.04,80.97
10338106,---,-15.95,-73.92,-47.44,71.38
10338107,---,62.16,81.66,63.20,29.12
10338108,---,36.73,-59.98,81.12,63.91
10338109,---,8.83,37.06,21.73,-29.03
10338110,---,-12.17,-22.25,-11.44,-2.32
10338111,---,14.28,24.51,37.74,-25.69
10338112,---,97.55,97.82,97.17,97.06
10338113,---,57.93,87.83,20.69,43.51
10338114,---,96.76,97.80,94.29,97.57
10338115,---,1.92,29.27,-0.96,-14.22
10338116,---,8.18,21.16,-32.50,27.06
10338117,---,-10.17,-75.73,-57.08,86.22
10338118,---,55.47,57.49,53.46,55.57
10338119,---,83.81,69.86,83.12,91.27
10338120,---,18.27,7.07,-16.14,55.07
10338121,---,39.33,54.15,71.12,-14.29
10338122,---,12.52,60.76,-40.75,21.24
10338123,---,-11.92,-4.61,-37.87,5.97
10338124,---,9.44,32.11,-4.04,3.27
10338125,---,35.26,94.12,-58.74,1.33
10338126,---,57.92,63.71,71.24,19.79
10338127,---,20.84,39.14,-40.05,59.06
10338128,---,-23.07,-46.51,-27.20,9.33
10338129,---,59.29,72.71,79.37,-0.73
10338130,---,29.95,86.73,-15.19,-17.19
10338131,---,71.88,81.23,4.53,89.61
10338132,---,34.43,28.93,-11.68,73.22
10338133,---,51.77,68.30,47.70,35.27
10338134,---,64.54,76.59,88.61,-7.53
10338135,---,20.20,6.07,10.23,41.80
10338136,---,54.17,-5.42,83.28,61.86
10338137,---,-32.12,-81.73,82.52,-71.35
10338138,---,38.99,30.93,34.91,53.48
10338139,---,16.25,5.79,77.58,-46.88
10338140,---,-54.77,11.41,-93.90,-62.81
10338141,---,-15.95,-22.24,-16.48,-10.94
10338142,---,17.72,-87.69,80.62,65.15
10338143,---,-20.08,-2.07,-48.42,-34.34
10338144,---,-49.97,-54.03,-24.38,-68.04
10338145,---,14.29,9.23,30.01,1.50
10338146,---,-11.56,37.01,-37.05,-30.98
10338147,---,12.93,42.13,13.44,-21.24
10338148,---,-7.10,-9.37,-38.81,29.97
10338149,---,-60.45,-91.42,-82.70,28.56
10338150,---,43.08,13.90,7.01,90.12
10338151,---,84.43,75.04,83.37,91.98
10338152,---,67.93,28.01,84.97,76.38
10338153,---,76.42,48.10,86.55,85.57
10338154,---,94.77,98.65,94.08,85.50
10338155,---,16.56,56.32,16.88,-26.25
10338156,---,31.43,82.22,-43.36,17.26
10338157,---,56.29,84.13,37.19,32.11
10338158,---,90.93,91.71,98.80,33.15
10338159,---,-18.52,18.82,-38.96,-33.43
10338160,---,97.86,97.66,97.90,98.02
10338161,---,36.79,63.00,38.67,3.34
10338162,---,71.49,86.70,77.44,19.82
10338163,---,-34.38,-30.09,-33.03,-40.54
10338164,---,75.85,81.57,83.84,53.64
10338165,---,-77.29,-3.80,-99.15,-95.15
10338166,---,-2.90,24.39,2.64,-46.23
10338167,---,-17.19,-6.01,-32.61,-17.13
10338168,---,-7.40,-27.74,-37.93,30.60
10338169,---,61.06,28.55,35.74,91.18
10338170,---,90.61,96.55,76.58,92.12
10338171,---,45.10,76.61,22.05,12.48
10338172,---,45.58,75.99,72.25,-41.37
10338173,---,-21.06,-62.05,34.82,-27.10
10338174,---,78.04,86.02,49.63,88.32
10338175,---,64.99,88.71,35.60,31.24
10338176,---,75.44,86.18,75.78,61.40
10338177,---,37.91,81.39,11.55,1.88
10338178,---,55.83,59.86,55.67,49.81
10338179,---,7.56,11.06,8.70,4.42
10338180,---,-37.19,-48.92,-42.76,-9.43
10338181,---,57.79,67.29,22.57,72.40
10338182,---,-57.94,46.03,-66.03,-97.13
10338183,---,-41.08,-57.06,-62.02,-10.75
10338184,---,49.56,71.07,79.75,-23.15
10338185,---,18.23,19.18,-1.61,35.53
10338186,---,22.43,-1.58,17.77,46.56
10338187,---,64.63,33.03,93.24,34.56
10338188,---,1.73,-4.62,39.97,-29.08
10338189,---,46.27,76.99,14.38,24.02
10338190,---,98.25,99.10,97.97,97.07
10338191,---,49.04,21.31,19.82,81.48
10338192,---,65.29,9.97,95.59,46.14
10338193,---,79.70,63.75,85.57,83.71
10338194,---,-58.41,-29.19,-93.41,-42.93
10338195,---,96.47,97.26,95.99,95.68
10338196,---,3.04,1.90,3.71,3.43
10338197,---,56.19,-9.37,91.20,30.74
10338198,---,86.24,91.73,80.32,84.42
10338199,---,3.96,49.65,24.04,-52.77
10338200,---,6.68,-8.40,-10.22,39.86
10338201,---,-13.73,-9.32,11.42,-40.92
10338202,---,43.57,-26.76,75.11,67.34
10338203,---,5.36,-17.81,42.09,-10.94
10338204,---,87.07,86.32,93.55,75.99
10338205,---,-51.92,-57.48,-86.19,2.00
10338206,---,-9.23,-10.86,-28.34,13.39
10338207,---,-10.88,-2.54,-2.74,-55.76
10338208,---,63.62,75.36,62.20,49.54
10338209,---,96.95,96.46,97.67,96.85
10338210,---,64.23,68.38,69.98,50.52
10338211,---,34.60,-34.64,63.14,58.21
10338212,---,50.89,47.17,72.34,26.51
10338213,---,14.11,-1.19,25.16,18.31
10338214,---,44.27,46.66,51.61,32.53
10338215,---,-8.47,58.98,-95.83,45.21
10338216,---,-38.13,-34.74,-80.98,3.83
10338217,---,32.11,-34.68,-37.36,97.57
10338218,---,3.40,-4.85,58.41,-44.84
10338219,---,61.00,0.17,61.34,88.90
10338220,---,-21.25,-30.84,-30.77,-3.23
10338221,---,74.29,56.02,82.36,78.23
10338222,---,23.59,70.11,-9.68,-2.67
10338223,---,98.98,99.04,98.95,99.01
10338224,---,67.76,53.20,69.68,76.99
10338225,---,91.57,93.68,90.09,88.67
10338226,---,-5.30,76.99,-63.54,-33.88
10338227,---,86.06,78.97,87.21,90.09
10338228,---,40.43,14.96,-10.64,87.01
10338229,---,-5.81,-16.34,-11.82,-0.65
10338230,---,2.43,-0.05,-30.54,47.19
10338231,---,-18.13,7.66,-44.30,-16.63
10338232,---,40.80,26.28,3.63,95.75
10338233,---,44.51,66.43,62.45,-10.15
10338234,---,16.49,80.33,6.33,-47.83
10338235,---,-4.19,-1.73,-12.93,-2.18
10338236,---,32.48,65.53,59.49,-38.05
10338237,---,81.60,71.79,87.78,81.04
10338238,---,46.44,20.08,70.49,36.75
10338239,---,18.33,47.77,52.19,-45.75
10338240,---,33.78,77.36,27.33,-25.13
10338241,---,-21.87,-16.35,-26.61,-23.67
10338242,---,8.75,72.18,-16.42,-31.62
10338243,---,-70.37,-82.43,-28.34,-85.34
10338244,---,38.77,34.10,35.01,46.80
10338245,---,-4.76,5.55,-1.55,-25.22
10338246,---,61.16,84.47,-3.54,77.31
10338247,---,43.90,31.92,81.58,-11.25
10338248,---,77.69,96.67,64.89,6.51
10338249,---,94.72,97.84,91.41,92.65
10338250,---,28.64,49.38,-29.47,58.66
10338251,---,-3.43,23.23,-19.74,-7.20
10338252,---,-52.83,-88.17,-59.42,-9.72
10338253,---,-40.07,-81.52,-48.53,25.73
10338254,---,68.49,73.54,83.69,32.26
10338255,---,54.80,96.20,2.60,-0.63
10338256,---,16.77,67.67,37.42,-55.75
10338257,---,77.01,86.97,83.58,51.73
10338258,---,63.85,68.21,58.33,63.80
10338259,---,32.52,58.49,72.26,-35.47
10338260,---,36.41,47.06,88.03,-65.51
10338261,---,-68.37,-96.69,-40.24,-56.43
10338262,---,54.97,69.29,15.92,62.62
10338263,---,53.49,77.85,74.42,-14.71
10338264,---,35.05,78.50,2.91,-5.54
10338265,---,81.60,71.01,93.92,68.06
10338266,---,-12.60,-38.04,41.22,-33.91
10338267,---,38.28,71.13,-3.03,30.53
10338268,---,32.61,52.94,51.79,-17.54
10338269,---,47.16,-10.25,52.33,77.84
10338270,---,-8.65,56.85,-41.07,-36.60
10338271,---,93.13,92.78,85.96,96.96
10338272,---,80.58,79.46,46.73,93.78
10338273,---,52.51,51.03,60.67,45.54
10338274,---,3.70,-77.74,69.00,30.49
10338275,---,58.00,82.05,13.31,62.93
10338276,---,9.48,41.26,13.85,-28.69
10338277,---,-17.07,-43.60,-15.27,8.94
10338278,---,43.06,-2.80,32.65,78.19
10338279,---,34.46,50.80,18.89,32.64
10338280,---,-11.57,-30.73,-45.39,28.93
10338281,---,94.37,85.89,93.44,97.78
10338282,---,-56.24,-94.86,54.18,-84.11
10338283,---,9.41,-44.96,19.37,49.80
10338284,---,56.23,84.91,-35.03,79.52
10338285,---,41.90,-86.52,88.81,82.60
10338286,---,-5.81,17.42,7.54,-50.39
10338287,---,-48.02,-16.26,-95.12,17.35
10338288,---,73.44,84.21,53.49,76.48
10338289,---,-12.58,33.78,-52.55,-11.62
10338290,---,36.03,63.74,65.39,-42.48
10338291,---,-29.57,4.99,-66.40,-16.76
10338292,---,43.21,56.79,41.39,10.29
10338293,---,51.49,73.91,60.37,8.88
10338294,---,81.40,85.97,90.72,52.77
10338295,---,94.15,93.87,92.74,95.80
10338296,---,-35.93,40.26,-55.52,-85.41
10338297,---,-32.02,-10.85,-64.34,-22.06
10338298,---,19.35,44.92,11.91,10.91
10338299,---,71.47,79.06,87.84,15.18
10338300,---,30.99,-11.64,-4.99,84.35
10338301,---,14.47,53.69,8.29,-20.64
10338302,---,64.10,79.13,61.79,45.41
10338303,---,28.42,29.79,42.68,12.54
10338304,---,-1.01,-25.29,-13.72,43.33
10338305,---,55.31,74.06,46.29,38.42
10338306,---,-61.43,-90.15,-81.89,46.38
10338307,---,-5.54,-0.57,-13.39,-3.49
10338308,---,90.49,95.01,91.12,81.73
10338309,---,-70.78,-37.28,-95.28,-69.39
10338310,---,0.96,76.99,12.46,-80.43
10338311,---,61.78,43.12,88.42,36.83
10338312,---,67.79,67.72,60.44,74.02
10338313,---,48.56,56.23,55.38,31.21
10338314,---,71.00,23.98,88.81,80.12
10338315,---,29.51,22.78,36.51,26.78
10338316,---,40.27,31.53,13.66,67.43
10338317,---,82.41,96.85,96.77,-17.35
10338318,---,-40.41,17.98,-39.15,-79.21
10338319,---,62.58,-46.98,73.79,96.13
10338320,---,-15.00,29.50,-25.78,-40.66
10338321,---,-24.49,-64.36,-16.41,12.01
10338322,---,5.65,-23.85,-81.39,93.05
10338323,---,-23.00,-71.46,33.99,-21.94
10338324,---,85.92,95.44,90.70,43.80
10338325,---,89.57,96.60,95.39,41.68
10338326,---,90.81,60.84,96.49,92.44
10338327,---,-86.27,-96.93,-88.12,-41.05
10338328,---,-17.53,-6.67,-15.91,-38.09
10338329,---,-37.78,-68.63,-22.43,-28.11
10338330,---,13.73,41.64,50.25,-48.62
10338331,---,-6.74,-6.07,-14.62,-3.39
10338332,---,-39.35,-95.82,27.14,-15.64
10338333,---,-4.30,-14.66,-8.66,2.85
10338334,---,-15.43,-1.23,11.20,-52.09
10338335,---,94.33,99.20,97.85,34.37
10338336,---,-0.75,49.21,-1.17,-39.50
10338337,---,-32.22,-79.49,8.12,-28.64
10338338,---,37.75,46.17,37.48,28.95
10338339,---,40.61,53.76,41.00,27.91
10338340,---,-3.69,9.88,-11.96,-11.13
10338341,---,72.57,83.56,66.24,64.60
10338342,---,82.65,96.47,67.32,71.14
10338343,---,33.19,32.21,91.96,-84.26
10338344,---,1.87,1.86,-0.95,4.52
10338345,---,14.79,-23.00,32.50,34.42
10338346,---,11.86,68.69,48.62,-76.73
10338347,---,-10.22,-43.67,-70.64,72.11
10338348,---,-28.01,7.33,-14.19,-62.35
10338349,---,92.25,96.99,91.82,86.64
10338350,---,12.39,-30.98,7.49,60.58
10338351,---,79.76,61.00,96.69,58.37
10338352,---,-14.98,22.20,-54.32,-8.19
10338353,---,90.62,82.03,95.62,88.38
10338354,---,10.25,16.04,32.08,-17.54
10338355,---,85.13,93.33,78.99,78.60
10338356,---,57.41,33.13,59.88,73.08
10338357,---,21.03,3.77,44.98,10.42
10338358,---,15.13,3.61,23.51,15.79
10338359,---,34.07,2.36,83.31,-10.32
10338360,---,-30.49,-33.24,-26.65,-30.87
10338361,---,93.34,94.02,93.75,92.07
10338362,---,-3.03,43.97,-42.55,4.38
10338363,---,38.34,48.90,16.23,49.53
10338364,---,-44.21,-19.47,-71.09,-40.68
10338365,---,-69.73,-64.79,-41.49,-99.60
10338366,---,45.36,39.12,57.87,39.99
10338367,---,60.42,-2.47,54.63,88.07
10338368,---,-40.33,-49.91,-65.91,-5.10
10338369,---,13.13,50.96,18.41,-32.06
10338370,---,68.70,93.76,30.74,41.90
10338371,---,-45.42,-66.66,-33.37,-24.29
10338372,---,76.84,54.66,89.01,75.32
10338373,---,73.54,83.06,82.98,42.39
10338374,---,-69.09,37.49,-90.38,-94.74
10338375,---,40.36,16.07,23.35,72.59
10338376,---,13.45,-14.04,61.37,-9.11
10338377,---,46.99,85.98,58.91,-34.70
10338378,---,10.96,-19.84,68.39,-24.01
10338379,---,5.48,-1.10,-20.08,44.54
10338380,---,-88.89,-93.23,-96.48,-51.14
10338381,---,-26.75,-36.98,-24.10,-20.49
10338382,---,66.05,70.81,68.61,59.18
10338383,---,32.94,40.21,7.00,51.50
10338384,---,-80.81,-63.25,-75.51,-95.08
10338385,---,67.60,81.62,65.97,52.56
10338386,---,-8.83,8.75,-49.02,16.69
10338387,---,-21.38,19.60,-51.40,-28.05
10338388,---,98.11,98.67,97.09,98.01
10338389,---,-6.24,53.20,3.91,-69.84
10338390,---,32.94,-63.29,78.56,60.58
10338391,---,-1.66,-71.10,31.50,50.87
10338392,---,68.29,86.93,41.99,66.12
10338393,---,98.85,98.32,98.38,99.11
10338394,---,-68.84,-73.27,-56.52,-74.04
10338395,---,-19.67,-7.66,-59.44,19.88
10338396,---,1.73,-31.15,14.19,24.42
10338397,---,70.47,72.52,24.52,89.97
10338398,---,-61.61,-85.49,-11.00,-58.79
10338399,---,39.76,31.77,38.86,48.40
10338400,---,33.28,36.65,31.24,32.52
10338401,---,-12.35,61.59,-95.02,-3.17
10338402,---,-0.75,-82.64,28.35,65.84
10338403,---,47.80,54.09,46.88,41.81
10338404,---,18.76,-15.58,54.33,14.90
10338405,---,24.77,42.47,57.22,-22.86
10338406,---,54.88,78.95,40.04,35.33
10338407,---,39.96,41.40,53.32,24.04
10338408,---,73.10,17.39,84.44,89.80
10338409,---,76.36,89.72,66.80,60.21
10338410,---,-16.87,32.33,-49.72,-24.94
10338411,---,68.54,66.36,76.61,62.36
10338412,---,89.45,74.65,90.68,94.84
10338413,---,-12.96,-24.72,-29.74,19.45
10338414,---,89.12,93.43,86.17,85.01
10338415,---,-32.43,-17.06,-50.94,-26.59
10338416,---,41.68,58.64,44.95,10.00
10338417,---,8.39,26.52,-12.24,10.72
10338418,---,-46.50,-83.22,-36.48,-21.93
10338419,---,31.14,37.46,38.62,14.92
10338420,---,15.69,43.05,39.91,-36.10
10338421,---,11.31,38.36,-1.63,4.04
10338422,---,70.44,60.99,61.31,84.67
10338423,---,-27.53,-70.75,12.09,-16.24
10338424,---,81.97,93.37,85.73,53.60
10338425,---,20.42,37.01,-5.00,24.55
10338426,---,23.79,62.86,7.83,-7.75
10338427,---,57.47,29.76,50.69,79.04
10338428,---,-3.83,-1.98,34.07,-31.28
10338429,---,45.08,66.36,3.65,53.48
10338430,---,81.22,92.58,23.44,94.26
10338431,---,-15.89,18.18,-36.80,-27.47
10338432,---,-0.50,43.33,-28.20,-7.49
10338433,---,58.00,91.76,79.27,-48.95
10338434,---,41.67,47.17,46.34,31.03
10338435,---,-1.99,57.29,-8.64,-20.39
10338436,---,-47.70,-31.23,-65.13,-51.41
