Probeset_ID,Gene Symbol,L+WT,Sample_,Sample_,Sample_
10338001,---,6.17,2.70,7.25,8.98
10338003,---,5.01,-1.48,5.98,10.70
10338004,---,6.97,1.90,7.20,12.24
10338017,---,15.53,14.28,13.55,19.09
10338025,---,5.45,1.68,-4.04,18.24
10338026,---,16.56,14.76,14.83,20.14
10338029,---,9.99,7.52,2.92,21.29
10338035,---,15.47,7.00,15.19,25.91
10338036,---,13.87,1.86,9.18,33.62
10338037,---,1.19,16.90,-34.75,40.98
10338041,---,4.45,0.00,-4.88,16.89
10338042,---,-6.07,-15.48,-11.88,5.26
10338044,---,-26.97,-36.74,-29.69,-12.23
10338047,---,-30.42,-9.44,-63.78,-14.49
10338056,---,-45.14,-46.26,-53.44,-35.88
10338059,---,17.77,14.57,20.10,19.34
10338060,---,7.94,36.73,-37.48,44.67
10338064,---,-34.90,-14.32,-35.13,-63.94
10338065,---,-34.90,-14.32,-35.13,-63.94
10338066,---,-34.90,-14.32,-35.13,-63.94
10338067,---,-34.90,-14.32,-35.13,-63.94
10338068,---,33.16,79.35,-14.32,-9.14
10338069,---,-34.34,-1.35,-85.09,1.82
10338070,---,-85.24,-99.72,-41.71,-40.61
10338071,---,-57.66,-53.06,-59.68,-59.93
10338072,---,18.33,-16.65,58.18,5.75
10338073,---,0.00,58.01,58.41,-84.98
10338074,---,-16.95,-46.25,9.73,-14.43
10338075,---,87.47,89.26,87.83,85.86
10338076,---,6.16,18.06,4.44,-1.85
10338077,---,52.94,64.82,53.70,39.28
10338078,---,24.14,44.88,-9.73,33.48
10338079,---,-42.46,-89.25,-29.10,16.19
10338080,---,-25.56,-85.43,-59.37,62.52
10338081,---,55.36,57.53,7.50,83.90
10338082,---,-12.90,-47.67,-33.52,40.19
10338083,---,79.86,84.38,47.47,90.47
10338084,---,-19.64,-45.37,-1.92,-10.48
10338085,---,-75.70,-58.86,-82.45,-80.83
10338086,---,47.97,50.74,44.68,48.60
10338087,---,-67.12,-74.13,-84.16,-26.44
10338088,---,-73.52,-64.55,-96.24,-46.26
10338089,---,-7.42,-54.22,28.94,18.66
10338090,---,-49.69,-74.19,-38.78,-33.36
10338091,---,56.43,-42.03,91.56,55.67
10338092,---,32.42,42.41,22.06,30.98
10338093,---,62.64,75.78,69.62,24.36
10338094,---,1.20,20.73,32.02,-41.81
10338095,---,33.55,28.90,35.68,35.34
10338096,---,-55.58,-10.54,-31.61,-93.46
10338097,---,50.29,84.32,6.15,32.70
10338098,---,47.67,38.75,56.12,47.48
10338099,---,68.64,88.41,68.33,34.84
10338100,---,-57.64,-42.19,-57.73,-73.54
10338101,---,35.30,30.66,49.51,23.76
10338102,---,-60.74,-36.01,-66.33,-80.75
10338103,---,34.60,14.91,31.37,55.11
10338104,---,30.98,47.98,25.65,16.34
10338105,---,73.11,83.78,83.84,42.60
10338106,---,36.79,36.57,51.11,19.61
10338107,---,27.52,-32.62,44.37,62.57
10338108,---,6.51,-28.81,3.21,51.54
10338109,---,-16.71,29.86,-33.04,-43.50
10338110,---,-42.10,-48.54,-76.64,10.85
10338111,---,-55.58,-51.71,-61.68,-54.49
10338112,---,-8.20,-36.14,8.88,1.42
