Probeset_ID,Gene Symbol,MF PC 480hi,Sample_,Sample_,Sample_
10338001,---,37.69,39.69,27.90,45.66
10338003,---,40.85,36.36,31.35,54.86
10338004,---,35.38,36.47,20.06,50.32
10338017,---,48.04,54.40,46.59,43.44
10338025,---,25.57,21.93,21.57,33.47
10338026,---,40.18,49.96,35.53,35.99
10338029,---,44.01,38.46,32.27,61.96
10338035,---,33.38,30.42,19.98,50.08
10338036,---,39.38,32.40,30.46,54.00
10338037,---,68.22,63.27,64.35,75.85
10338041,---,42.09,39.35,36.68,49.81
10338042,---,38.08,34.16,36.13,44.05
10338044,---,22.29,27.23,15.14,25.30
10338047,---,47.21,56.84,35.01,45.10
10338056,---,-23.79,-30.18,-23.06,-19.51
10338059,---,44.63,51.85,38.58,44.71
10338060,---,36.39,48.70,18.54,37.70
10338064,---,-8.88,-60.67,73.76,-38.10
10338065,---,-8.88,-60.67,73.76,-38.10
10338066,---,-8.88,-60.67,73.76,-38.10
10338067,---,-8.88,-60.67,73.76,-38.10
10338068,---,40.74,50.00,52.02,8.59
10338069,---,27.62,42.98,-22.54,60.12
10338070,---,-52.10,-52.21,-64.88,-38.62
10338071,---,3.96,9.67,24.83,-11.82
10338072,---,-60.95,32.49,-86.87,-91.99
10338073,---,5.17,86.08,-9.19,-74.93
10338074,---,-52.52,-55.62,-45.79,-56.42
10338075,---,-15.97,-28.84,-16.67,-3.86
10338076,---,-62.64,-71.79,-71.65,-42.91
10338077,---,63.68,53.10,67.89,68.89
10338078,---,-50.87,-70.58,-58.10,-23.04
10338079,---,42.12,46.32,10.04,63.79
10338080,---,-10.90,-42.30,8.60,-1.01
10338081,---,11.05,-50.20,43.85,38.35
10338082,---,40.53,28.65,71.47,14.84
10338083,---,-41.08,-73.50,-2.73,-53.51
10338084,---,42.83,30.75,62.50,29.92
10338085,---,86.03,89.25,81.34,86.47
10338086,---,-63.12,-75.15,-36.56,-72.05
10338087,---,34.05,38.08,62.64,-9.27
10338088,---,-66.88,-52.93,-98.70,-27.75
10338089,---,-25.22,-28.80,-6.96,-39.30
10338090,---,-48.35,-53.94,-14.58,-73.86
10338091,---,-23.15,18.44,-83.51,25.53
10338092,---,76.33,74.42,87.79,58.21
10338093,---,-4.37,-12.28,38.91,-25.22
10338094,---,-46.68,-46.05,-29.71,-62.77
10338095,---,-74.00,-84.18,-74.45,-59.90
10338096,---,77.64,91.90,78.83,40.14
10338097,---,-6.09,-73.39,55.23,16.49
10338098,---,34.97,47.09,-10.65,58.15
10338099,---,8.85,71.04,-2.19,-47.30
10338100,---,31.75,-7.59,20.00,71.44
10338101,---,15.56,32.39,31.15,-19.94
10338102,---,0.51,-57.69,62.73,15.35
10338103,---,-12.73,0.76,-67.21,37.63
10338104,---,-45.39,-52.77,-40.61,-41.70
10338105,---,79.43,63.81,87.76,82.14
10338106,---,-44.19,-37.34,-70.47,-6.11
10338107,---,-22.60,-35.45,2.01,-37.08
10338108,---,-0.84,22.30,-63.70,50.04
10338109,---,9.80,3.38,49.02,-20.78
10338110,---,-36.16,-20.08,21.96,-86.26
10338111,---,30.15,23.99,40.34,25.23
10338112,---,63.49,70.14,68.88,45.50
10338113,---,97.30,98.53,95.21,97.09
10338114,---,-27.64,-30.34,-14.52,-37.66
10338115,---,-30.70,-19.60,27.35,-92.77
10338116,---,64.62,67.50,62.77,63.85
10338117,---,-51.12,-66.19,-53.48,-29.24
10338118,---,21.26,-0.63,56.75,-4.90
10338119,---,33.32,45.52,60.69,-16.46
10338120,---,19.94,21.67,24.23,13.25
10338121,---,46.15,25.11,64.04,46.97
10338122,---,-42.74,55.64,-37.51,-95.98
10338123,---,24.62,15.68,10.14,48.33
10338124,---,-11.19,-33.58,-37.67,45.16
10338125,---,49.34,26.13,87.09,-3.91
10338126,---,32.92,-1.99,83.78,-22.03
10338127,---,-24.11,-46.08,-72.76,52.53
10338128,---,-26.38,-43.98,-11.47,-21.73
10338129,---,47.73,29.28,80.57,7.08
10338130,---,26.82,-38.59,91.61,-23.60
10338131,---,56.96,25.59,49.90,80.59
10338132,---,-9.79,34.43,-2.27,-65.92
10338133,---,-32.14,-49.94,-22.24,-22.92
10338134,---,-56.44,-70.03,-63.91,-25.61
10338135,---,-29.26,-18.80,-56.37,-16.18
10338136,---,62.52,82.14,86.52,-19.73
10338137,---,-47.57,48.02,-72.88,-77.41
10338138,---,52.58,60.40,38.41,61.72
10338139,---,56.88,3.95,86.31,54.85
10338140,---,44.52,79.72,-6.10,36.12
10338141,---,-29.74,-17.91,-47.53,-28.09
10338142,---,15.75,-26.93,35.03,39.48
10338143,---,-37.89,-30.87,-72.22,-22.60
10338144,---,-46.08,-32.22,-68.61,-33.39
10338145,---,-4.29,15.56,-2.71,-23.11
10338146,---,-51.34,-25.17,-62.34,-65.25
10338147,---,0.94,0.61,9.20,-20.63
10338148,---,8.35,28.59,-33.40,32.71
10338149,---,43.26,86.59,66.62,-52.97
10338150,---,48.19,44.42,38.44,61.97
10338151,---,87.68,93.47,93.64,63.67
10338152,---,-9.00,16.61,-20.56,-24.26
10338153,---,53.25,80.05,-44.88,92.58
10338154,---,77.64,75.34,82.50,74.38
10338155,---,-19.30,-17.76,-42.46,4.35
10338156,---,-44.96,-51.35,-13.22,-66.34
10338157,---,-73.62,-49.02,-46.01,-98.54
10338158,---,-22.56,-48.02,-47.08,30.79
10338159,---,39.58,57.40,65.01,-16.58
10338160,---,42.23,59.54,40.06,27.07
10338161,---,1.82,27.76,17.28,-39.34
10338162,---,-46.36,-6.71,-42.32,-79.07
10338163,---,-27.18,-38.77,-18.80,-24.27
10338164,---,96.26,95.39,98.31,94.82
10338165,---,-37.14,-75.44,-2.88,-41.89
10338166,---,-63.52,-48.37,-44.78,-83.11
10338167,---,-7.01,-95.41,72.91,-5.67
10338168,---,-0.47,23.84,-24.94,-12.99
10338169,---,47.79,76.59,41.85,13.06
10338170,---,40.06,39.98,58.52,18.11
10338171,---,-20.38,-67.38,-7.43,-0.70
10338172,---,-32.94,-7.02,-6.06,-85.83
10338173,---,-19.04,-7.01,-6.09,-46.30
10338174,---,71.65,85.36,79.87,41.55
10338175,---,-5.26,-67.91,66.25,-11.08
10338176,---,38.22,45.14,46.84,23.42
10338177,---,3.07,-8.19,-24.20,41.30
10338178,---,-26.03,-24.55,-18.34,-36.19
10338179,---,43.52,54.98,47.70,30.27
10338180,---,48.22,35.65,55.35,53.81
10338181,---,69.89,64.61,67.71,76.47
10338182,---,-16.34,-43.95,-61.50,60.83
10338183,---,-14.38,-58.79,-33.31,51.07
10338184,---,-9.14,75.10,26.18,-93.40
10338185,---,67.46,53.15,87.67,49.65
10338186,---,-33.02,-32.46,-21.07,-46.17
10338187,---,34.02,-26.19,56.76,59.84
10338188,---,60.42,56.74,63.51,60.76
10338189,---,62.41,88.31,-16.13,69.84
10338190,---,65.60,86.67,19.00,54.96
10338191,---,35.12,-2.76,57.61,43.08
10338192,---,66.36,85.40,42.28,60.63
10338193,---,57.08,47.23,66.40,55.72
