Probeset_ID,Gene Symbol,Mo Bl Ly6C- II+,Sample_,Sample_
10338001,---,98.66,99.47,97.26
10338003,---,98.37,98.97,97.32
10338004,---,98.74,99.19,98.01
10338017,---,98.05,97.87,98.13
10338025,---,98.76,99.14,98.12
10338026,---,94.00,92.20,95.72
10338029,---,98.11,99.01,96.39
10338035,---,98.69,99.10,97.89
10338036,---,98.66,99.17,97.84
10338037,---,99.11,99.67,98.51
10338041,---,98.55,99.53,96.30
10338042,---,98.48,99.21,97.15
10338044,---,98.54,99.43,97.15
10338047,---,96.20,97.00,95.40
10338056,---,-1.58,-0.75,-2.91
10338059,---,96.56,96.36,96.74
10338060,---,91.72,89.57,93.76
10338064,---,95.32,96.16,94.37
10338065,---,95.32,96.16,94.37
10338066,---,95.32,96.16,94.37
10338067,---,95.32,96.16,94.37
10338068,---,69.81,79.24,56.57
10338069,---,-84.20,-89.32,-78.18
10338070,---,96.92,99.79,-12.59
10338071,---,-0.81,-2.93,2.90
10338072,---,-19.98,-8.63,-32.01
10338073,---,-13.46,-29.32,1.74
10338074,---,-93.73,-97.57,-86.82
10338075,---,44.54,27.32,57.48
10338076,---,-75.01,-63.11,-83.18
10338077,---,37.95,65.23,14.04
10338078,---,-66.85,-69.99,-63.47
10338079,---,10.18,54.85,-34.22
10338080,---,76.96,90.28,53.78
10338081,---,22.45,82.01,-57.55
10338082,---,-31.55,-49.00,-9.04
10338083,---,54.93,44.69,63.26
10338084,---,-41.98,-45.89,-38.20
10338085,---,39.08,32.25,46.74
10338086,---,-75.55,-64.40,-84.32
10338087,---,-85.62,-65.66,-95.18
10338088,---,-4.79,72.33,-79.41
10338089,---,31.12,26.39,36.22
10338090,---,65.24,76.20,51.31
10338091,---,89.21,95.62,67.44
10338092,---,-87.56,-36.01,-98.45
10338093,---,-86.29,-76.12,-93.00
10338094,---,-59.67,-11.77,-90.31
10338095,---,-19.35,-86.54,12.82
10338096,---,80.15,92.45,51.25
10338097,---,-18.84,10.38,-45.71
10338098,---,86.76,85.69,87.95
10338099,---,-36.99,-31.40,-42.31
10338100,---,75.02,78.21,70.43
10338101,---,16.15,16.91,15.51
10338102,---,77.70,93.81,21.79
10338103,---,-57.95,-19.00,-82.46
10338104,---,-86.74,-91.14,-80.12
10338105,---,65.86,54.21,76.49
10338106,---,52.14,19.58,74.53
10338107,---,14.58,79.34,-67.79
10338108,---,80.95,88.87,69.31
10338109,---,-41.43,-33.48,-49.42
10338110,---,-74.27,-42.58,-92.78
10338111,---,23.23,21.89,25.23
10338112,---,93.46,95.20,91.83
10338113,---,3.89,-14.21,27.45
10338114,---,81.08,43.33,94.11
10338115,---,-58.63,-40.06,-76.05
10338116,---,-60.01,-89.99,27.25
10338117,---,13.57,-61.92,75.23
10338118,---,56.36,-16.39,87.14
10338119,---,84.11,29.67,96.31
10338120,---,-25.62,-24.51,-26.73
10338121,---,-89.54,-77.30,-96.65
10338122,---,-85.29,-95.13,-68.07
10338123,---,-5.68,-50.12,29.63
10338124,---,31.63,43.28,17.38
10338125,---,81.98,74.99,87.99
10338126,---,92.08,90.44,92.57
10338127,---,45.67,58.35,31.43
10338128,---,-71.78,-79.35,-64.16
10338129,---,-42.90,40.25,-91.19
10338130,---,60.71,77.96,31.18
10338131,---,14.64,-35.84,62.37
10338132,---,87.03,96.47,54.33
10338133,---,-75.72,-33.23,-94.65
10338134,---,57.71,46.41,67.25
10338135,---,12.88,24.96,-1.17
10338136,---,22.52,-41.18,71.18
10338137,---,-0.07,43.41,-45.76
10338138,---,44.75,31.33,61.29
10338139,---,61.33,85.77,16.72
10338140,---,-78.71,-60.39,-89.13
10338141,---,-33.41,-92.46,-1.49
10338142,---,34.88,-7.44,67.75
10338143,---,53.23,68.44,18.44
10338144,---,-94.41,-76.64,-99.09
10338145,---,-0.03,5.94,-4.89
10338146,---,-25.27,-0.77,-58.92
10338147,---,-5.17,18.87,-45.43
10338148,---,-89.42,-85.88,-91.98
10338149,---,77.21,67.99,84.53
10338150,---,56.89,0.78,93.70
10338151,---,83.23,89.02,75.00
10338152,---,47.33,97.04,-67.85
10338153,---,78.29,97.56,25.66
10338154,---,-41.87,-81.78,28.34
10338155,---,-80.60,-81.06,-80.34
10338156,---,65.95,96.31,-37.66
10338157,---,-75.83,-97.94,-27.01
10338158,---,95.32,99.44,60.14
10338159,---,26.03,-0.68,49.70
10338160,---,93.14,92.30,93.79
10338161,---,-27.18,-1.23,-50.38
10338162,---,-61.26,11.05,-93.80
10338163,---,-85.31,-84.44,-85.90
10338164,---,31.75,-4.86,61.30
10338165,---,-78.38,-42.20,-97.20
10338166,---,-37.24,0.17,-64.49
10338167,---,-13.02,24.76,-52.09
10338168,---,-39.59,-58.18,-11.24
10338169,---,-35.01,11.77,-75.18
10338170,---,-56.05,5.15,-96.45
10338171,---,14.57,-25.54,62.10
10338172,---,66.88,94.13,-12.96
10338173,---,-50.15,-55.15,-45.31
10338174,---,29.58,3.82,57.30
10338175,---,89.89,97.62,53.76
10338176,---,32.42,64.67,8.60
10338177,---,-70.78,-51.88,-84.48
10338178,---,-76.19,-96.59,-36.78
10338179,---,0.80,0.95,0.64
10338180,---,-22.35,-47.14,5.29
10338181,---,-36.18,-23.35,-48.41
10338182,---,21.84,-56.26,81.54
10338183,---,-12.31,9.45,-33.71
10338184,---,34.51,-34.48,82.50
10338185,---,22.85,41.87,2.33
10338186,---,5.57,44.86,-26.17
10338187,---,99.07,99.79,96.59
10338188,---,-1.14,40.47,-40.90
10338189,---,28.11,53.25,-3.98
10338190,---,88.42,90.78,85.26
10338191,---,17.41,-48.62,72.23
10338192,---,-71.63,-99.39,62.36
10338193,---,58.22,74.73,35.83
10338194,---,-82.96,-81.68,-84.23
10338195,---,91.35,83.00,96.95
10338196,---,-28.23,-53.09,0.63
10338197,---,17.23,85.92,-70.94
10338198,---,-6.79,69.04,-75.04
10338199,---,-53.20,-48.40,-57.41
10338200,---,-48.07,-4.77,-76.56
10338201,---,-66.44,-92.90,-3.83
10338202,---,32.03,-2.82,60.50
10338203,---,84.02,89.44,77.19
10338204,---,-4.34,40.57,-45.85
10338205,---,-53.40,-67.06,-38.76
10338206,---,66.09,77.34,48.67
10338207,---,9.13,38.05,-4.86
10338208,---,46.99,64.30,23.41
10338209,---,93.41,91.28,95.30
10338210,---,98.23,98.70,97.36
10338211,---,44.36,24.44,58.24
10338212,---,42.75,41.86,43.40
10338213,---,6.61,-3.92,18.93
10338214,---,86.66,93.69,72.42
10338215,---,-4.32,-20.40,19.17
10338216,---,-23.99,-45.59,-5.15
10338217,---,62.61,13.01,90.01
10338218,---,61.51,-42.62,97.21
10338219,---,-93.63,-99.75,-10.33
10338220,---,52.89,56.18,49.22
10338221,---,44.42,47.61,41.01
10338222,---,-49.46,-82.96,-9.75
10338223,---,97.11,96.06,97.95
10338224,---,-54.86,-24.28,-76.71
10338225,---,84.77,94.23,55.21
10338226,---,-1.91,-23.16,32.59
10338227,---,95.88,88.85,98.23
10338228,---,-53.00,-42.20,-62.14
10338229,---,-2.86,-0.38,-8.27
10338230,---,-50.64,-51.35,-50.09
10338231,---,-80.40,-95.84,-20.48
10338232,---,40.75,-13.80,96.61
10338233,---,40.68,80.28,-21.00
10338234,---,18.98,39.15,-1.27
10338235,---,-75.61,-81.74,-68.32
10338236,---,53.73,-27.99,89.49
10338237,---,24.97,98.14,-96.87
10338238,---,-68.88,-49.25,-84.96
10338239,---,-16.07,-10.83,-20.85
10338240,---,-2.94,35.36,-30.12
10338241,---,-0.59,4.82,-2.51
10338242,---,-26.29,17.09,-69.28
10338243,---,37.76,74.32,-8.04
10338244,---,10.33,3.45,19.29
10338245,---,77.28,79.07,76.03
10338246,---,43.37,-18.26,82.96
10338247,---,-44.01,-50.24,-37.09
10338248,---,30.70,58.39,-3.10
10338249,---,76.84,78.02,75.05
10338250,---,39.90,-4.67,73.05
10338251,---,-30.26,-63.72,1.54
10338252,---,55.64,94.29,-44.24
10338253,---,38.52,45.83,31.33
10338254,---,53.17,40.25,62.24
10338255,---,-60.83,-50.98,-71.01
10338256,---,-73.52,-94.86,-42.73
10338257,---,70.21,66.72,73.63
10338258,---,-13.72,-40.85,13.32
10338259,---,-63.61,-45.30,-81.55
10338260,---,-49.90,-21.76,-75.95
10338261,---,42.26,23.64,57.24
10338262,---,50.11,-17.97,82.18
10338263,---,-18.89,1.28,-38.79
10338264,---,-2.08,-34.84,42.33
10338265,---,-49.32,-66.38,-29.98
10338266,---,-88.45,-97.52,-72.77
10338267,---,-10.00,-84.27,74.93
10338268,---,-45.94,48.72,-93.06
10338269,---,-91.14,-47.93,-99.64
10338270,---,44.74,58.38,28.03
10338271,---,91.40,85.79,94.59
10338272,---,87.49,84.05,90.09
10338273,---,-64.93,-57.97,-71.07
10338274,---,92.12,82.36,96.87
10338275,---,94.34,91.91,95.68
10338276,---,-82.76,-92.26,-63.73
10338277,---,10.74,23.96,-2.84
10338278,---,55.09,3.15,82.69
10338279,---,32.48,51.83,11.46
10338280,---,-21.12,-31.97,-9.16
10338281,---,61.13,44.92,74.12
10338282,---,-44.36,-5.06,-77.22
10338283,---,53.25,0.85,89.24
10338284,---,84.91,85.18,84.41
10338285,---,52.51,-6.73,85.61
10338286,---,-90.40,-91.59,-88.57
10338287,---,47.96,22.95,68.84
10338288,---,57.13,79.65,20.23
10338289,---,-50.80,-47.76,-54.10
10338290,---,7.87,37.69,-14.35
10338291,---,-87.50,-79.93,-93.03
10338292,---,-72.54,-72.80,-72.39
10338293,---,79.20,83.70,74.21
10338294,---,63.28,75.55,47.85
10338295,---,46.94,28.22,64.23
10338296,---,-76.38,-57.65,-91.90
10338297,---,-60.24,-48.14,-71.86
10338298,---,2.53,2.42,2.57
10338299,---,81.66,95.34,35.57
