Probeset_ID,Gene Symbol,MF PC 480lo,Sample_,Sample_,Sample_
10338001,---,17.57,9.91,28.78,18.33
10338003,---,23.10,10.68,35.49,24.60
10338004,---,13.14,2.07,28.38,11.71
10338017,---,23.88,19.15,41.00,18.77
10338025,---,10.25,-7.41,34.03,5.48
10338026,---,23.02,21.21,37.64,17.22
10338029,---,17.28,8.73,32.88,12.89
10338035,---,13.96,2.00,30.25,12.31
10338036,---,3.39,-8.64,20.11,-1.61
10338037,---,64.12,69.11,65.72,56.08
10338041,---,5.15,-9.44,34.82,-16.29
10338042,---,5.13,-1.95,27.31,-8.23
10338044,---,3.18,0.47,14.51,-6.92
10338047,---,49.96,60.81,48.69,36.91
10338056,---,-27.78,-29.77,-30.91,-23.06
10338059,---,29.54,23.89,36.63,30.02
10338060,---,40.87,57.99,37.70,22.34
10338064,---,-14.76,-12.76,23.84,-53.09
10338065,---,-14.76,-12.76,23.84,-53.09
10338066,---,-14.76,-12.76,23.84,-53.09
10338067,---,-14.76,-12.76,23.84,-53.09
10338068,---,89.34,95.17,65.99,95.74
10338069,---,-21.68,74.97,-70.58,-63.50
10338070,---,-3.80,-88.29,-69.29,94.62
10338071,---,60.02,89.87,-4.44,48.87
10338072,---,-40.52,-43.78,5.71,-78.29
10338073,---,-23.28,3.15,-77.56,21.45
10338074,---,-64.25,-67.38,-48.65,-73.16
10338075,---,23.23,42.38,41.69,-15.72
10338076,---,-54.06,-30.12,-77.49,-49.07
10338077,---,71.17,59.57,76.19,76.02
10338078,---,-12.11,-14.56,-15.10,-5.79
10338079,---,-4.79,9.37,-72.64,57.74
10338080,---,-18.86,38.02,-17.24,-76.35
10338081,---,-44.93,45.83,-96.24,-3.79
10338082,---,43.64,47.06,34.56,50.58
10338083,---,-18.12,-7.65,-4.19,-47.03
10338084,---,55.88,50.09,51.70,64.93
10338085,---,93.00,93.88,93.46,91.59
10338086,---,-63.65,-60.99,-75.87,-51.12
10338087,---,35.38,34.24,31.43,40.08
10338088,---,-9.86,-44.35,18.52,-1.94
10338089,---,-3.56,65.60,-51.10,-17.75
10338090,---,12.19,2.96,24.24,8.04
10338091,---,-34.23,34.12,-61.17,-61.17
10338092,---,63.03,71.07,38.13,71.65
10338093,---,-27.41,-26.91,-79.84,46.12
10338094,---,-57.34,-35.69,-51.87,-77.69
10338095,---,-54.67,-60.56,-72.40,-27.40
10338096,---,11.08,-7.14,24.46,18.02
10338097,---,-26.22,-85.50,89.10,-90.08
10338098,---,-2.30,-29.96,-25.20,51.26
10338099,---,-2.17,16.46,-33.32,10.95
10338100,---,13.54,-47.36,54.79,51.67
10338101,---,68.07,75.35,73.22,51.38
10338102,---,8.59,31.08,24.76,-14.47
10338103,---,-16.59,-2.97,-5.46,-42.39
10338104,---,-66.08,-55.20,-63.63,-76.10
10338105,---,79.71,75.51,86.68,74.69
10338106,---,45.72,27.81,48.00,57.98
10338107,---,-3.98,6.45,-41.77,28.15
10338108,---,-8.62,29.97,-16.37,-33.23
10338109,---,3.35,27.24,-15.40,0.19
10338110,---,42.14,50.42,30.65,42.93
10338111,---,38.98,35.58,47.41,35.44
10338112,---,89.65,93.02,70.84,93.35
