NAME	TITLE	SCORE	
C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	2.353528	
C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	2.0969398	
C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	1.8567915	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	1.5168841	
SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	1.2049453	
MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	1.1711786	
MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	1.0753022	
PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1.0291408	
CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	0.8564111	
CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	0.7495125	
IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	0.67618006	
ITM2B	integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]	0.6665824	
TMEM37	transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216]	0.6644507	
LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	0.6632169	
IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	0.6372555	
OPRPN	opiorphin prepropeptide [Source:HGNC Symbol;Acc:HGNC:17279]	0.6318858	
AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	0.6194724	
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	0.5864537	
RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	0.57977206	
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	0.57410145	
LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	0.5707914	
CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	0.5598552	
RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	0.5546235	
FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	0.5366964	
OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	0.52141255	
SLCO2B1	solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962]	0.49649748	
TMEM119	transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]	0.49534315	
CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]	0.47735578	
STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	0.46173793	
FXYD2	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	0.45909813	
SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	0.45852488	
C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	0.44128063	
COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	0.43796083	
LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	0.4319612	
PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	0.43109873	
ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	0.4250114	
FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	0.41924325	
BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	0.41896158	
FOS	"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"	0.41711113	
LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	0.4077167	
RAB7B	"RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"	0.40451562	
CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	0.39763418	
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	0.3964832	
