"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","14/106","360/23328",9.90693516046791e-10,2.09234470589082e-06,1.48916877991033e-06,"Ccl17/Itgb7/Ccr1/Lgals3/Cd9/Il1a/Ccl22/Spp1/Icam1/Trem1/Ccr6/Il1b/Rac2/Ccr2",14
"GO:0097529","GO:0097529","myeloid leukocyte migration","11/106","219/23328",4.94314468992823e-09,5.21996079256421e-06,3.71516348274606e-06,"Ccl17/Ccr1/Lgals3/Cd9/Il1a/Ccl22/Spp1/Trem1/Il1b/Rac2/Ccr2",11
"GO:0060326","GO:0060326","cell chemotaxis","12/106","303/23328",1.37549145224216e-08,9.68345982378481e-06,6.89193611860283e-06,"Ccl17/Ccrl2/Ccr1/Lgals3/Ccl22/Spp1/Nr4a1/Trem1/Ccr6/Il1b/Rac2/Ccr2",12
"GO:0030595","GO:0030595","leukocyte chemotaxis","10/106","219/23328",6.28805996863594e-08,3.32009566343978e-05,2.36298674610845e-05,"Ccl17/Ccr1/Lgals3/Ccl22/Spp1/Trem1/Ccr6/Il1b/Rac2/Ccr2",10
"GO:1990266","GO:1990266","neutrophil migration","8/106","124/23328",9.90233773763099e-08,4.18274746037533e-05,2.97695542933412e-05,"Ccl17/Lgals3/Il1a/Ccl22/Spp1/Trem1/Il1b/Rac2",8
"GO:0050863","GO:0050863","regulation of T cell activation","11/106","321/23328",2.45504744435525e-07,8.41737850629054e-05,5.99083757325702e-05,"Cd209a/Tnfsf9/H2-Oa/Lgals3/Il1a/Gsn/Lmo1/Malt1/Il1b/Rac2/Ccr2",11
"GO:0001660","GO:0001660","fever generation","4/106","13/23328",2.78985083068342e-07,8.41737850629054e-05,5.99083757325702e-05,"Ptgs2/Il1a/Il1rn/Il1b",4
"GO:0030593","GO:0030593","neutrophil chemotaxis","7/106","99/23328",3.45786823936517e-07,9.12877215192406e-05,6.49715242870193e-05,"Ccl17/Lgals3/Ccl22/Spp1/Trem1/Il1b/Rac2",7
"GO:0097530","GO:0097530","granulocyte migration","8/106","155/23328",5.50881903049475e-07,0.000101814901649022,7.24639551210147e-05,"Ccl17/Lgals3/Il1a/Ccl22/Spp1/Trem1/Il1b/Rac2",8
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","12/106","427/23328",5.65586866660194e-07,0.000101814901649022,7.24639551210147e-05,"Tnfsf9/Plaur/Rgcc/Lgals3/Nr4a3/Cd9/Il1a/Icam1/Il1rn/Malt1/Il1b/Ccr2",12
"GO:0042098","GO:0042098","T cell proliferation","9/106","213/23328",5.6872544213699e-07,0.000101814901649022,7.24639551210147e-05,"Cd209a/Tnfsf9/Lgals3/Il1a/Lmo1/Malt1/Il1b/Rac2/Ccr2",9
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","8/106","156/23328",5.78493759369445e-07,0.000101814901649022,7.24639551210147e-05,"Ccr1/Lgals3/Il1a/Icam1/Ccr6/Il1b/Rac2/Ccr2",8
"GO:0002685","GO:0002685","regulation of leukocyte migration","9/106","217/23328",6.64508211577202e-07,0.000107957026373158,7.68354434115178e-05,"Ccr1/Lgals3/Cd9/Il1a/Icam1/Ccr6/Il1b/Rac2/Ccr2",9
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","11/106","369/23328",9.71406238770856e-07,0.000146543569734575,0.000104298354057502,"Ccl17/Ccr1/Il1r2/Il1a/Ccl22/Mmp12/Il1rn/Traf1/Axl/Il1b/Ccr2",11
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","9/106","231/23328",1.1182929771825e-06,0.000157455651187296,0.000112064727818709,"Cd209a/Tnfsf9/Lgals3/Il1a/Cdkn1a/Lmo1/Il1b/Rac2/Ccr2",9
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","9/106","234/23328",1.24450159368214e-06,0.000164274210366042,0.000116917649722243,"Cd209a/Tnfsf9/Lgals3/Il1a/Cdkn1a/Lmo1/Il1b/Rac2/Ccr2",9
"GO:0042129","GO:0042129","regulation of T cell proliferation","8/106","175/23328",1.37882092703618e-06,0.000171298223405907,0.000121916797758988,"Cd209a/Tnfsf9/Lgals3/Il1a/Lmo1/Il1b/Rac2/Ccr2",8
