"","Gene.Symbol","GEXC_AMs_1","GEXC_AMs_2","GEXC_AMs_3","GEXC_DC_Lu_CD103+_1","GEXC_DC_Lu_CD103+_2","GEXC_DC_Lu_CD103+_3","GEXC_DC_Lu_CD103+_4","GEXC_DC_Lu_CD103+_5","GEXC_DC_Lu_CD24+_1","GEXC_DC_Lu_CD24+_2","GEXC_DCLuLN_CD103+_1","GEXC_DCLuLN_CD103+_2","GEXC_DCLuLN_CD103+_3","GEXC_DCLuLN_CD11b+_1","GEXC_DCLuLN_CD11b+_2","GEXC_DCLuLN_CD11b+_3","GEXC_L+WT_1","GEXC_L+WT_2","GEXC_L+WT_3","GEXC_LMIsW_1","GEXC_LMIsW_2","GEXC_LMIsW_3","GEXC_MF_BM_1","GEXC_MF_BM_2","GEXC_MF_BM_3","GEXC_MF_CNS_1","GEXC_MF_CNS_2","GEXC_MF_CNS_3","GEXC_MF_Lu_CD11b+_CD24-_1","GEXC_MF_Lu_CD11b+_CD24-_2","GEXC_MF_PC_480hi_1","GEXC_MF_PC_480hi_2","GEXC_MF_PC_480hi_3","GEXC_MF_PC_480lo_1","GEXC_MF_PC_480lo_2","GEXC_MF_PC_480lo_3","GEXC_MF_SI_1","GEXC_MF_SI_2","GEXC_MF_SI_3","GEXC_MF_SI_4","GEXC_MF_SI_5","GEXC_MF_SI_6","GEXC_MF_SI_7","GEXC_MF_SLN_1","GEXC_MF_SLN_2","GEXC_MF_SP_1","GEXC_MF_SP_2","GEXC_MF_SP_3","GEXC_Mo_Bl_Ly6C-_II-_1","GEXC_Mo_Bl_Ly6C-_II-_2","GEXC_Mo_Bl_Ly6C-_II+_1","GEXC_Mo_Bl_Ly6C-_II+_2","GEXC_Mo_Bl_Ly6C-_IIint_1","GEXC_Mo_Bl_Ly6C-_IIint_2","GEXC_Mo_Bl_Ly6C-_IIint_3","GEXC_Mo_Bl_Ly6C-_IIint_4","GEXC_Mo_Bl_Ly6C-_IIint_5","GEXC_Mo_Bl_Ly6C+_II-_1","GEXC_Mo_Bl_Ly6C+_II-_2","GEXC_Mo_Bl_Ly6C+_II-_3","GEXC_Mo_Bl_Ly6C+_II+_1","GEXC_Mo_Bl_Ly6C+_II+_2","GEXC_Mo_Bl_Ly6C+_II+_3","GEXC_Mo_BM_Ly6C-_II-_1","GEXC_Mo_BM_Ly6C-_II-_2","GEXC_Mo_BM_Ly6C-_II-_3","GEXC_Mo_BM_Ly6C+_II-_1","GEXC_Mo_BM_Ly6C+_II-_2","GEXC_Mo_BM_Ly6C+_II-_3"
"C1qa","C1qa",43.62,37.09,43.27,-47.01,-45.48,-39.73,-61.89,-60.17,62.91,76.95,-29.6,-44.9,-36.82,-3.71,30.96,39.37,26.41,-32,-5.82,100,100,100,55.54,81.6,82.79,99.7,96.83,98.76,93.42,94.46,97.43,98.02,98.17,94.61,95.15,95.05,98.22,97.87,98.76,98.62,99.21,99.31,98.57,62.31,85.21,94.16,96.59,96.19,-58.07,-46.49,0.54,-4.17,-50.65,-62.26,-64.62,-50.92,-51.57,-66.34,-80.45,-71.95,-16.56,-31.87,-17.58,-44.24,-59.36,-42.98,-32.96,-27.68,-25.48
"Cxcl10","Cxcl10",-31.93,-39,-59.33,-35.45,-45.66,-56.89,-14.24,-19.43,84.98,86.53,-54.79,-22.08,-50.75,-7.34,77.52,-2.1,13.76,5.33,31.3,6.3,-1.76,20.93,-27.23,-18.59,-11.59,-44.06,32.07,25.78,83.72,89.34,-71.31,-62.61,-94.49,-63.58,-10.46,27.23,83.82,78.97,80.14,80.04,76.45,84.5,78.2,78.29,67.73,-8.34,34.21,20.93,-35.04,-58.45,-30.01,-30.5,-47.06,-33.87,-46.84,-58.11,-56.84,-1.2,-2.67,-3.07,8.91,-4.83,6.2,-42.21,-40.33,-53.1,2.81,15.12,7.46
"C1qb","C1qb",21.55,3.44,13.77,-54.73,-48.27,-37.49,-50.93,-71.69,76.67,82.1,-24.97,-46.24,-41.62,30.09,45.93,70.31,12.52,-24.41,-1.67,97.57,99.35,96.48,65.57,82.62,84.73,99.76,98.42,99.31,91.01,94.17,98.02,96.15,98.18,96.68,96.68,95.75,98.1,97.25,99.11,97.08,96.88,97.65,99.15,74.44,85.46,92.59,98.58,96.35,-40.75,-54.8,34.83,29.53,-40.17,-50.16,-35.32,-55.57,-61.11,-38.68,-41.43,-29.1,33.7,36.53,4.74,-28.55,-35.99,-44.31,-45.11,-41.6,-15.04
"Mmp12 or Mmp1b","Mmp12 or Mmp1b",42.32,29.05,49.58,-66.26,-48.78,-68.01,-55.67,-32.02,76.12,79.89,-18.62,-56.18,-50.08,-1.77,-5.5,11.59,-15.13,-23.89,-7.39,74.86,86.45,84.08,-63.92,-70.39,-35.35,-71.97,-23.7,-33.5,83.38,85.34,-52.31,-65.45,-84.96,-22.63,-34.55,-71.83,38.69,40.92,35.2,31.7,17.46,9.92,69.13,-18.3,-19.83,-29.32,-57.05,-20.97,-31.27,-31.97,-13.89,-16.64,-27.01,-66.74,-28.47,-63.58,-51.31,-78.85,-43.21,-47.18,-39.81,-34.33,-57.03,-57.4,-51.75,-50.8,-50.53,-58.44,-36.94
"C1qc","C1qc",-2.84,-14.23,-19.31,-36.03,-43.87,-39.79,-48.32,-68,59.41,71.86,-23.96,-32.52,-32.99,19.95,34.4,64.63,-17.74,-37.99,-26.8,93.16,93.85,93.08,66.22,80.05,86.43,98.72,97.56,98.84,92.5,94.7,99,99.46,99.65,96.25,96.06,95.75,97.06,98.34,99.23,99.5,98.26,97.8,98.26,65.17,83.03,94.09,96.13,95.32,-55.93,-48.82,20.45,17.47,-49.59,-45.78,-78.93,-76.96,-79.57,-37.37,-53.42,-50.98,5.26,-2.07,-11.07,-23.41,-26.5,-38.79,-28.69,-31.6,-28.99
"Ptgs2","Ptgs2",-22.13,-10.13,-6.46,-52.06,-55.67,-41.48,-20.16,-36.06,88.39,83.65,-16.64,17.97,-11.04,40.67,75.91,54.36,69.79,57.54,64.07,40.73,34.66,42.92,-80.14,-61.76,-77.21,-25.09,-6.93,-13.93,71.06,75.56,-90.58,-23.67,-60.23,-56.88,6.12,-18.46,92.66,95.67,95.55,94.97,93.07,91.91,96.82,35.07,15.6,-48.12,-28.21,-62.91,-42.91,-58.13,-46.36,-58.83,-76.72,-91.38,-53.42,-89.81,-77.25,1.33,-33.07,-18.26,0.98,-0.68,-53.05,-45.35,-46.69,-43.38,-41.66,-58.67,-37.74
"C3ar1","C3ar1",-10.38,8.88,-2.5,-55.9,-53.35,-36.47,-36.22,-43.35,45.49,56.05,-56.15,-69.03,-74.23,-26.51,-26.19,-5.74,9.46,-2.14,7.26,89.73,90.17,91.12,-22.56,-28.19,-5.05,47.25,77.11,73.15,71.17,77.4,78.36,81.14,76.74,65,69.11,66.91,86.35,90.68,90.24,86.06,91.12,89.07,90.76,8.58,28.83,-28.44,-20.48,-32.29,-61.97,-75.76,-35.48,-50.58,-63.61,-63.17,-64.6,-67.48,-75.2,-13.31,-13.6,-16.63,7.48,-3.15,-24.47,-68.82,-69.86,-65.57,-29.3,-22.98,-23.71
"Ccl4","Ccl4",-7.47,-11.51,-15.95,-5.79,-8.64,-11.1,2.75,-1.99,88.37,87.95,-13.88,-9.1,-32.24,-11.48,6.13,-4.78,-1.99,-5.71,-10.6,-0.08,22.2,-0.18,-16.94,-19.53,-8.56,55.81,65.75,61.94,80.55,90.06,-37.11,-21,-43.06,-19.79,-7.61,-16.91,70.4,70.82,69.56,73.78,72.3,76.53,82.24,-4.96,-4.08,-16.24,-0.21,-12.29,-22.42,-7.88,-16.19,-10.19,-37.76,-26.46,-13.53,-16.14,-14.51,-11.8,-21.98,-38.4,-6.98,-3.24,-25.86,-37.26,-27.62,-15.98,-35.95,-30.7,-13.24
"Itgam","Itgam",-9.7,-21.6,-10.6,-37.05,-43.44,-35.18,-32.37,-41.31,75.22,66.61,-68.46,-54.32,-69.53,34.34,37.09,23.67,75.56,73.67,72.2,57.57,60.84,53.79,22.03,12.74,5.68,54.13,94.32,83.65,56.11,61.27,98.97,99.05,98.8,96.73,97.68,96.99,74.27,76.85,74.61,76.85,74.01,74.01,67.38,62.91,53.96,-17.56,-8.73,-12.22,86.57,79.43,71.94,57.06,83.99,88.98,81.76,79.95,80.81,92.43,95.01,93.63,89.5,80.03,76.51,53.18,51.64,47.85,61.45,59.64,61.53
"Cx3cr1","Cx3cr1",11.47,31.31,3.96,-62.53,-42.95,-34.35,-79.19,-71.39,81.36,78.38,-60.98,-71.82,-45.58,74.03,72.76,64.97,99.08,98.34,98.11,99.83,99.83,99.83,84.12,76.09,68.46,99.54,99.94,99.83,92.09,95.81,-91.03,-81.16,-69.62,75.29,80.05,80.73,98.51,98.85,98.68,99.43,99.03,98.8,97.59,81.48,87.44,-29.51,-43.15,-0.74,98.17,97.08,88.7,91.34,97.82,99.03,97.59,98.68,97.42,95.18,94.09,93.81,94.55,95.64,96.44,97.99,95.87,95.3,90.02,91.06,93.41
