NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	10		Rejected!	
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	24	21		
GOMF_TRNA_BINDING	72	67		
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_SULFUR_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	31	20		
GOMF_SNARE_BINDING	110	83		
GOMF_RDNA_BINDING	9		Rejected!	
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	36	34		
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	6		Rejected!	
GOMF_MAGNESIUM_ION_BINDING	222	188		
GOMF_ENDOPOLYPHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_RNA_CAP_BINDING	20	17		
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	13		Rejected!	
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	17	17		
GOMF_Y_FORM_DNA_BINDING	5		Rejected!	
GOMF_BUBBLE_DNA_BINDING	8		Rejected!	
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	11		Rejected!	
GOMF_INOSITOL_1_3_4_5_6_PENTAKISPHOSPHATE_KINASE_ACTIVITY	5		Rejected!	
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	8		Rejected!	
GOMF_TRANSLATION_REPRESSOR_ACTIVITY_MRNA_REGULATORY_ELEMENT_BINDING	16		Rejected!	
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	20	18		
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	1230		Rejected!	
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	6		Rejected!	
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	7		Rejected!	
GOMF_RNA_POLYMERASE_I_CORE_BINDING	5		Rejected!	
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	43	41		
GOMF_RNA_POLYMERASE_II_ACTIVITY	5		Rejected!	
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	24	24		
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING	5		Rejected!	
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	10		Rejected!	
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	74	59		
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	11		Rejected!	
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	8		Rejected!	
GOMF_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	8		Rejected!	
GOMF_RNA_POLYMERASE_I_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	6		Rejected!	
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	464	280		
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	325	206		
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	108	94		
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	44	42		
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING	40	34		
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_LIPOPOLYSACCHARIDE_BINDING	35	23		
GOMF_N_ACETYLGALACTOSAMINE_4_O_SULFOTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_AMYLOID_BETA_BINDING	85	64		
GOMF_TRACE_AMINE_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	26	21		
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	154	64		
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	285	169		
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_ATPASE_ACTIVATOR_ACTIVITY	26	24		
GOMF_LIPID_KINASE_ACTIVITY	5		Rejected!	
GOMF_RETINAL_DEHYDROGENASE_ACTIVITY	8		Rejected!	
GOMF_PHOSPHOTYROSINE_RESIDUE_BINDING	44	40		
